state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
4s2,1S,0,0.000,,FALSE
3d.4s,3D,1,20335.360,,FALSE
3d.4s,3D,2,20349.260,,FALSE
3d.4s,3D,3,20371.000,,FALSE
3d.4s,1D,2,21849.634,,FALSE
4s.5s,3S,1,31539.495,,FALSE
4s.5s,1S,0,33317.264,,FALSE
4s.4d,1D,2,37298.287,,FALSE
4s.4d,3D,1,37748.197,,FALSE
4s.4d,3D,2,37751.867,,FALSE
4s.4d,3D,3,37757.449,,FALSE
4p2,3P,0,38417.543,,FALSE
4p2,3P,1,38464.808,,FALSE
4p2,3P,2,38551.558,,FALSE
4s.6s,3S,1,40474.241,,FALSE
4s.6s,1S,0,40690.435,,FALSE
4p2,1D,2,40719.847,,FALSE
4p2,1S,0,41786.276,,FALSE
4s.5d,3D,1,42743.002,,FALSE
4s.5d,3D,2,42744.716,,FALSE
4s.5d,3D,3,42747.387,,FALSE
4s.5d,1D,2,42919.053,,FALSE
3d2,3F,2,43474.827,,FALSE
3d2,3F,3,43489.119,,FALSE
3d2,3F,4,43508.088,,FALSE
4s.7s,3S,1,43980.767,,FALSE
4s.7s,1S,0,44276.538,,FALSE
4s.5g,3G,5,44874.86,,FALSE
4s.5g,1G,4,44875.95,,FALSE
4s.6d,1D,2,44989.830,,FALSE
4s.6d,3D,1,45049.073,,FALSE
4s.6d,3D,2,45050.419,,FALSE
4s.6d,3D,3,45052.374,,FALSE
4s.8s,3S,1,45738.684,,FALSE
4s.8s,1S,0,45887.200,,FALSE
4s.7d,1D,2,46200.13,,FALSE
4s.7d,3D,1,46301.973,,FALSE
4s.7d,3D,2,46303.649,,FALSE
4s.7d,3D,3,46306.059,,FALSE
4s.9s,3S,1,46748.283,,FALSE
4s.9s,1S,0,46835.055,,FALSE
4s.8d,1D,2,46948.98,,FALSE
4s.8d,3D,1,47036.225,,FALSE
4s.8d,3D,2,47040.007,,FALSE
4s.8d,3D,3,47045.241,,FALSE
4s.10s,3S,1,47382.048,,FALSE
4s.10s,1S,0,47437.471,,FALSE
3d.5s,1D,2,47449.083,,FALSE
3d.5s,3D,1,47456.452,,FALSE
3d.5s,3D,2,47466.014,,FALSE
3d.5s,3D,3,47475.915,,FALSE
4s.9d,3D,1,47752.655,,FALSE
4s.9d,3D,2,47757.286,,FALSE
4s.9d,3D,3,47765.697,,FALSE
4s.11s,3S,1,47806.20,,FALSE
4s.9d,1D,2,47812.39,,FALSE
4s.11s,1S,0,47843.76,,FALSE
4s.10d,3D,1,48031.58,,FALSE
4s.10d,3D,2,48033.23,,FALSE
4s.10d,3D,3,48036.212,,FALSE
4s.10d,1D,2,48083.41,,FALSE
4s.12s,3S,1,48104.02,,FALSE
4s.12s,1S,0,48130.75,,FALSE
4s.10g,1G,4,48202.2,,FALSE
4s.11d,3D,1,48258.30,,FALSE
4s.11d,3D,2,48258.84,,FALSE
4s.11d,3D,3,48260.29,,FALSE
4s.11d,1D,2,48290.85,,FALSE
4s.13s,3S,1,48321.14,,FALSE
4s.13s,1S,0,48340.75,,FALSE
4s.11g,1G,4,48394.3,,FALSE
4s.12d,3D,1,48433.01,,FALSE
4s.12d,3D,2,48433.46,,FALSE
4s.12d,3D,3,48434.47,,FALSE
4s.12d,1D,2,48451.73,,FALSE
4s.14s,3S,1,48484.30,,FALSE
4s.14s,1S,0,48499.14,,FALSE
3d2,3P,0,48524.093,,FALSE
3d2,3P,1,48537.623,,FALSE
3d2,3P,2,48563.522,,FALSE
4s.12g,1G,4,48540.1,,FALSE
4s.13d,3D,1,48568.66,,FALSE
4s.13d,3D,2,48568.95,,FALSE
4s.13d,3D,3,48569.51,,FALSE
4s.13d,1D,2,48578.32,,FALSE
4s.15s,3S,1,48609.75,,FALSE
4s.15s,1S,0,48621.53,,FALSE
4s.13g,1G,4,48653.7,,FALSE
4s.14d,3D,1,48675.42,,FALSE
4s.14d,3D,2,48675.65,,FALSE
4s.14d,3D,3,48676.09,,FALSE
4s.14d,1D,2,48678.97,,FALSE
4s.16s,3S,1,48708.82,,FALSE
4s.16s,1S,0,48718.02,,FALSE
4s.14g,1G,4,48743.4,,FALSE
4s.15d,1D,2,48760.14,,FALSE
4s.15d,3D,1,48760.88,,FALSE
4s.15d,3D,2,48761.20,,FALSE
4s.15d,3D,3,48761.31,,FALSE
4s.17s,3S,1,48788.03,,FALSE
4s.17s,1S,0,48795.46,,FALSE
4s.16d,1D,2,48827.05,,FALSE
4s.16d,3D,1,48829.87,,FALSE
4s.16d,3D,2,48829.95,,FALSE
4s.16d,3D,3,48830.47,,FALSE
4s.18s,3S,1,48852.58,,FALSE
4s.18s,1S,0,48858.59,,FALSE
4s.17d,1D,2,48882.37,,FALSE
4s.17d,3D,2,48886.75,,FALSE
4s.17d,3D,1,48886.90,,FALSE
4s.17d,3D,3,48887.04,,FALSE
4s.19s,3S,1,48905.60,,FALSE
