state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s2.6s,2S,0.5,24372.957,0.006,FALSE
5s2.5d,2D,1.5,32892.230,0.005,FALSE
5s2.5d,2D,2.5,32915.539,0.005,FALSE
5s.5p2,4P,0.5,34977.678,0.002,FALSE
5s.5p2,4P,1.5,36020.780,0.002,FALSE
5s.5p2,4P,2.5,37451.962,0.002,FALSE
5s2.7s,2S,0.5,36301.864,0.005,FALSE
5s2.6d,2D,1.5,39048.53,0.03,FALSE
5s2.6d,2D,2.5,39098.38,0.03,FALSE
5s2.8s,2S,0.5,40636.98,0.03,FALSE
5s2.7d,2D,1.5,41836.41,0.08,FALSE
5s2.7d,2D,2.5,41861.96,0.08,FALSE
5s2.9s,2S,0.5,42719.02,0.10,FALSE
5s2.8d,2D,1.5,43335.93,0.04,FALSE
5s2.8d,2D,2.5,43355.08,0.04,FALSE
5s2.10s,2S,0.5,43881.26,0.20,FALSE
5s2.9d,2D,1.5,44234.70,0.10,FALSE
5s2.9d,2D,2.5,44249.77,0.05,FALSE
5s2.11s,2S,0.5,44595.86,0.22,FALSE
5s2.10d,2D,1.5,44815.06,0.22,FALSE
5s2.10d,2D,2.5,44827.02,0.22,FALSE
5s2.12s,2S,0.5,45067.19,0.22,FALSE
5s2.11d,2D,1.5,45211.51,0.22,FALSE
5s2.11d,2D,2.5,45221.08,0.22,FALSE
5s2.13s,2S,0.5,45394.13,0.22,FALSE
5s2.12d,2D,1.5,45493.98,0.22,FALSE
5s2.12d,2D,2.5,45502.04,0.22,FALSE
5s2.14s,2S,0.5,45630.44,0.22,FALSE
5s2.13d,2D,1.5,45702.08,0.22,FALSE
5s2.13d,2D,2.5,45709.02,0.22,FALSE
5s2.15s,2S,0.5,45806.88,0.22,FALSE
5s2.14d,2D,1.5,45859.30,0.22,FALSE
5s2.14d,2D,2.5,45865.32,0.22,FALSE
5s2.16s,2S,0.5,45941.9,2.5,FALSE
5s2.15d,2D,1.5,45977.352,0.010,FALSE
5s2.15d,2D,2.5,45982.725,0.010,FALSE
5s2.17s,2S,0.5,46047.4,2.5,FALSE
5s2.16d,2D,1.5,46075.560,0.010,FALSE
5s2.16d,2D,2.5,46079.853,0.010,FALSE
5s2.18s,2S,0.5,46131.6,2.5,FALSE
5s2.17d,2D,1.5,46158.803,0.010,FALSE
5s2.17d,2D,2.5,46161.205,0.010,FALSE
5s2.19s,2S,0.5,46200.0,2.5,FALSE
5s2.18d,2D,1.5,46221.416,0.010,FALSE
5s2.18d,2D,2.5,46223.291,0.010,FALSE
5s2.20s,2S,0.5,46255.6,2.5,FALSE
5s2.19d,2D,1.5,46271.436,0.010,FALSE
5s2.19d,2D,2.5,46273.898,0.010,FALSE
5s2.21s,2S,0.5,46302.1,2.5,FALSE
5s2.20d,2D,1.5,46315.325,0.010,FALSE
5s2.20d,2D,2.5,46317.408,0.010,FALSE
5s2.22s,2S,0.5,46342.2,2.5,FALSE
5s2.21d,2D,1.5,46352.450,0.010,FALSE
5s2.21d,2D,2.5,46354.276,0.010,FALSE
5s2.23s,2S,0.5,46374.9,2.5,FALSE
5s2.22d,2D,1.5,46384.125,0.010,FALSE
5s2.22d,2D,2.5,46385.691,0.010,FALSE
5s2.24s,2S,0.5,46402.6,2.5,FALSE
5s2.23d,2D,1.5,46411.084,0.010,FALSE
5s2.23d,2D,2.5,46412.419,0.010,FALSE
5s2.24d,2D,1.5,46434.514,0.010,FALSE
5s2.24d,2D,2.5,46435.665,0.010,FALSE
5s2.25d,2D,1.5,46455.164,0.010,FALSE
5s2.25d,2D,2.5,46456.062,0.010,FALSE
5s2.26d,2D,1.5,46472.980,0.010,FALSE
5s2.26d,2D,2.5,46473.783,0.010,FALSE
5s2.27d,2D,1.5,46488.649,0.010,FALSE
5s2.27d,2D,2.5,46489.359,0.010,FALSE
5s2.28d,2D,1.5,46502.539,0.010,FALSE
5s2.28d,2D,2.5,46503.158,0.010,FALSE
5s2.29d,2D,1.5,46514.872,0.010,FALSE
5s2.29d,2D,2.5,46515.440,0.010,FALSE
5s2.30d,2D,1.5,46525.901,0.010,FALSE
5s2.30d,2D,2.5,46526.415,0.010,FALSE
I0 II ,L,---,46670.107,0.004,FALSE
5s.5p2,2S,0.5,56906,25,FALSE
5s.5p2,2P,0.5,59657,25,FALSE
5s.5p2,2P,1.5,60652,25,FALSE
5s.5p.6p,2S,0.5,77997,25,FALSE
5d.5p.7p,2S,0.5,84651,25,FALSE
5s.5p.8p,2S,0.5,87700,25,FALSE
