state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s2.5p,2P,0.5,0.000,,FALSE
5s2.5p,2P,1.5,2212.599,0.008,FALSE
5s2.6p,2P,0.5,31816.982,0.005,FALSE
5s2.6p,2P,1.5,32115.251,0.005,FALSE
5s2.7p,2P,0.5,38861.43,0.03,FALSE
5s2.7p,2P,1.5,38972.90,0.03,FALSE
5s2.4f,2F,3.5,39707.59,0.03,FALSE
5s2.4f,2F,2.5,39707.59,0.03,FALSE
5s2.8p,2P,0.5,41827.10,0.22,FALSE
5s2.8p,2P,1.5,41881.44,0.22,FALSE
5s2.5f,2F,2.5,42220.25,0.04,FALSE
5s2.9p,2P,0.5,43369.09,0.22,FALSE
5s2.9p,2P,1.5,43399.53,0.22,FALSE
5s2.6f,2F,2.5,43584.66,0.03,FALSE
5s2.10p,2P,0.5,44275.17,0.22,FALSE
5s2.10p,2P,1.5,44294.13,0.22,FALSE
5s2.7f,2F,3.5,44406.31,0.03,FALSE
5s2.7f,2F,2.5,44406.31,0.03,FALSE
5s2.11p,2P,0.5,44853.23,0.22,FALSE
5s2.11p,2P,1.5,44865.79,0.22,FALSE
5s2.8f,2F,2.5,44938.81,0.06,FALSE
5s2.8f,2F,3.5,44938.81,0.06,FALSE
5s2.9f,2F,3.5,45303.31,0.22,FALSE
5s2.9f,2F,2.5,45303.39,0.22,FALSE
5s2.10f,2F,3.5,45563.89,0.22,FALSE
5s2.10f,2F,2.5,45564.04,0.22,FALSE
5s2.11f,2F,2.5,45756.50,0.22,FALSE
5s2.11f,2F,3.5,45756.56,0.22,FALSE
5s2.12f,2F,3.5,45902.92,0.22,FALSE
5s2.12f,2F,2.5,45902.92,0.22,FALSE
5s.5p.6s,4P,2.5,68821.7,2.5,FALSE
