state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s2,1S,0,0.000,,FALSE
4d.5s,3D,1,840.198,,FALSE
4d.5s,3D,2,1045.076,,FALSE
4d.5s,3D,3,1449.752,,FALSE
4d.5s,1D,2,3296.180,,FALSE
4d2,3F,2,8003.126,,FALSE
4d2,3F,3,8328.039,,FALSE
4d2,3F,4,8743.322,,FALSE
4d2,3P,0,13883.379,,FALSE
4d2,3P,1,14018.267,,FALSE
4d2,3P,2,14098.076,,FALSE
4d2,1D,2,14832.862,,FALSE
4d2,1G,4,15682.905,,FALSE
4d2,1S,0,25070.255,,FALSE
4d.6s,3D,1,54956.083,,FALSE
4d.6s,3D,2,55032.349,,FALSE
4d.6s,3D,3,55645.642,,FALSE
4d.6s,1D,2,55725.522,,FALSE
5s.6s,3S,1,58263.238,,FALSE
4d.5d,1F,3,58533.296,,FALSE
4d.5d,3D,1,58720.382,,FALSE
4d.5d,3D,2,58947.625,,FALSE
4d.5d,3D,3,59327.880,,FALSE
5p2,3P,0,58776.425,,FALSE
5p2,3P,1,59147.559,,FALSE
5p2,3P,2,59670.257,,FALSE
4d.5d,3G,3,59179.589,,FALSE
4d.5d,3G,4,59472.643,,FALSE
4d.5d,3G,5,59900.516,,FALSE
4d.5d,1P,1,59716.843,,FALSE
5p2,1D,2,60535.922,,FALSE
4d.5d,3S,1,61201.662,,FALSE
4d.5d,3F,2,61338.016,,FALSE
4d.5d,3F,3,61652.237,,FALSE
4d.5d,3F,4,61935.205,,FALSE
5s.6s,1S,0,61369.257,,FALSE
4d.5d,1D,2,62497.527,,FALSE
4d.5d,1G,4,63350.233,,FALSE
4d.5d,3P,0,64031.507,,FALSE
4d.5d,3P,1,64263.741,,FALSE
4d.5d,3P,2,64597.237,,FALSE
5s.5d,3D,1,65132.628,,FALSE
5s.5d,3D,2,65190.158,,FALSE
5s.5d,3D,3,65276.034,,FALSE
4d.5d,1S,0,65482.806,,FALSE
5s.5d,1D,2,70224.102,,FALSE
4d.7s,3D,1,73666.659,,FALSE
4d.7s,3D,2,73766.824,,FALSE
4d.7s,3D,3,74374.907,,FALSE
4d.7s,1D,2,74582.562,,FALSE
4d.6d,1F,3,75503.988,,FALSE
4d.6d,3D,1,75537.374,,FALSE
4d.6d,3D,2,75776.062,,FALSE
4d.6d,3D,3,76178.282,,FALSE
4d.6d,3G,3,75757.428,,FALSE
4d.6d,3G,4,75945.279,,FALSE
4d.6d,3G,5,76404.766,,FALSE
4d.6d,3S,1,76067.524,,FALSE
4d.6d,1P,1,76506.630,,FALSE
4d.6d,3F,2,76518.538,,FALSE
4d.6d,3F,3,76887.895,,FALSE
4d.6d,3F,4,77090.580,,FALSE
4d.6d,1D,2,77412.820,,FALSE
4d.6d,3P,0,77431.962,,FALSE
4d.6d,3P,1,77660.301,,FALSE
4d.6d,3P,2,77877.330,,FALSE
4d.6d,1G,4,77626.412,,FALSE
4d.6d,1S,0,78947.200,,FALSE
5s.7s,3S,1,79912.598,,FALSE
4d.5g,2[9/2],5,80845.120,,FALSE
4d.5g,2[9/2],4,80846.408,,FALSE
4d.5g,2[7/2],3,80883.378,,FALSE
4d.5g,2[7/2],4,80883.679,,FALSE
4d.5g,2[11/2],5,80980.837,,FALSE
4d.5g,2[11/2],6,80983.950,,FALSE
4d.5g,2[5/2],3,81009.329,,FALSE
4d.5g,2[5/2],2,81011.236,,FALSE
4d.5g,2[9/2],5,81569.164,,FALSE
4d.5g,2[9/2],4,81570.001,,FALSE
4d.5g,2[11/2],5,81592.830,,FALSE
4d.5g,2[11/2],6,81595.084,,FALSE
4d.5g,2[7/2],3,81620.019,,FALSE
4d.5g,2[7/2],4,81620.278,,FALSE
4d.5g,2[5/2],3,81702.445,,FALSE
4d.5g,2[5/2],2,81704.369,,FALSE
4d.5g,2[13/2],7,81733.011,,FALSE
4d.5g,2[13/2],6,81737.067,,FALSE
4d.5g,2[3/2],1,81777.769,,FALSE
4d.5g,2[3/2],2,81783.597,,FALSE
5s.6d,3D,1,82195.17,,FALSE
5s.6d,3D,2,82215.179,,FALSE
5s.6d,3D,3,82443.315,,FALSE
4d.8s,1D,2,82530.782,,FALSE
4d.8s,3D,1,82643.224,,FALSE
4d.8s,3D,2,82907.415,,FALSE
4d.8s,3D,3,83171.031,,FALSE
4d.7d,1F,3,83426.240,,FALSE
4d.7d,3D,1,83453.76,,FALSE
4d.7d,3D,2,83650.929,,FALSE
4d.7d,3D,3,84116.534,,FALSE
4d.7d,1D,2,83505.524,,FALSE
4d.7d,3G,3,83579.111,,FALSE
4d.7d,3G,4,83700.818,,FALSE
4d.7d,3G,5,84220.557,,FALSE
4d.7d,3S,1,83804.21,,FALSE
4d.7d,3F,2,83980.318,,FALSE
4d.7d,3F,3,84396.977,,FALSE
4d.7d,3F,4,84524.704,,FALSE
4d.7d,3P,0,84275.20,,FALSE
4d.7d,3P,2,84669.744,,FALSE
4d.7d,3P,1,84762.50,,FALSE
4d.7d,1G,4,84777.574,,FALSE
5s.6d,1D,2,84960.157,,FALSE
4d.9s,3D,3,87905.84,,FALSE
4d.9s,1D,2,87952.06,,FALSE
4d.8d,3G,4,88022.23,,FALSE
4d.8d,3G,5,88599.768,,FALSE
4d.8d,3F,4,88758.24,,FALSE
5s.8s,3S,1,89278.04,,FALSE
Y III ,L,---,98590,5,FALSE
