state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s.5p,3P,0,23445.063,,FALSE
5s.5p,3P,1,23776.245,,FALSE
5s.5p,3P,2,24647.121,,FALSE
4d.5p,1D,2,26147.252,,FALSE
4d.5p,3F,2,27227.027,,FALSE
4d.5p,3F,3,27532.321,,FALSE
4d.5p,3F,4,28394.177,,FALSE
4d.5p,1P,1,27516.699,,FALSE
4d.5p,3D,1,28595.285,,FALSE
4d.5p,3D,2,28730.010,,FALSE
4d.5p,3D,3,29213.958,,FALSE
4d.5p,3P,0,32048.788,,FALSE
4d.5p,3P,1,32124.054,,FALSE
4d.5p,3P,2,32283.420,,FALSE
4d.5p,1F,3,33336.727,,FALSE
5s.5p,1P,1,44568.640,,FALSE
4d.6p,1D,2,63328.333,,FALSE
4d.6p,3D,1,63573.472,,FALSE
4d.6p,3D,2,64082.334,,FALSE
4d.6p,3D,3,64275.547,,FALSE
4d.6p,3F,2,63744.867,,FALSE
4d.6p,3F,3,64008.010,,FALSE
4d.6p,3F,4,64582.149,,FALSE
4d.6p,3P,1,64588.387,,FALSE
4d.6p,3P,0,64617.331,,FALSE
4d.6p,3P,2,65121.095,,FALSE
4d.6p,1F,3,65210.618,,FALSE
4d.6p,1P,1,65464.887,,FALSE
5s.6p,3P,0,69102.647,,FALSE
5s.6p,3P,1,69205.045,,FALSE
5s.6p,3P,2,69451.210,,FALSE
4d.4f,1G,4,69746.437,,FALSE
4d.4f,3F,2,69901.163,,FALSE
4d.4f,3F,3,69977.807,,FALSE
4d.4f,3F,4,70415.225,,FALSE
4d.4f,3H,4,70081.964,,FALSE
4d.4f,3H,5,70285.158,,FALSE
4d.4f,3H,6,70786.579,,FALSE
4d.4f,3G,3,70267.625,,FALSE
4d.4f,3G,4,70787.463,,FALSE
4d.4f,3G,5,70913.028,,FALSE
4d.4f,1D,2,70594.407,,FALSE
5s.6p,1P,1,70619.984,,FALSE
4d.4f,3D,3,70845.935,,FALSE
4d.4f,3D,1,70954.592,,FALSE
4d.4f,3D,2,70977.232,,FALSE
4d.4f,1F,3,71178.486,,FALSE
4d.4f,3P,2,71448.658,,FALSE
4d.4f,3P,1,71550.660,,FALSE
4d.4f,3P,0,71627.727,,FALSE
4d.4f,1H,5,71635.626,,FALSE
4d.4f,1P,1,72079.803,,FALSE
5s.4f,3F,2,76024.308,,FALSE
5s.4f,3F,3,76059.861,,FALSE
5s.4f,3F,4,76101.779,,FALSE
5s.4f,1F,3,76325.340,,FALSE
4d.7p,1D,2,77429.725,,FALSE
4d.7p,3D,1,77468.872,,FALSE
4d.7p,3D,2,78105.119,,FALSE
4d.7p,3D,3,78190.168,,FALSE
4d.7p,3F,2,77659.299,,FALSE
4d.7p,3F,3,77874.120,,FALSE
4d.7p,3F,4,78454.049,,FALSE
4d.7p,1F,3,78696.236,,FALSE
4d.7p,1P,1,78791.579,,FALSE
4d.5f,1G,4,80225.892,,FALSE
4d.5f,3F,2,80318.301,,FALSE
4d.5f,3F,3,80393.771,,FALSE
4d.5f,3F,4,80896.489,,FALSE
4d.5f,3H,4,80358.748,,FALSE
4d.5f,3H,5,80504.910,,FALSE
4d.5f,3H,6,81031.429,,FALSE
4d.5f,3G,3,80590.381,,FALSE
4d.5f,3G,4,81130.287,,FALSE
4d.5f,3G,5,81214.156,,FALSE
4d.5f,1D,2,80698.89,,FALSE
4d.5f,3D,1,80822.527,,FALSE
4d.5f,3D,2,81154.991,,FALSE
4d.5f,3D,3,81179.150,,FALSE
4d.5f,1F,3,81376.371,,FALSE
4d.5f,3P,2,81431.169,,FALSE
4d.5f,3P,1,81475.474,,FALSE
4d.5f,1H,5,81581.136,,FALSE
4d.5f,1P,1,81696.123,,FALSE
4d.6f,1G,4,85900.52,,FALSE
4d.6f,3F,2,85948.06,,FALSE
4d.6f,3F,3,86006.22,,FALSE
4d.6f,3F,4,86574.08,,FALSE
4d.6f,3H,4,85977.05,,FALSE
4d.6f,3H,5,86085.71,,FALSE
4d.6f,3G,3,86101.44,,FALSE
4d.6f,3G,4,86724.51,,FALSE
4d.6f,3G,5,86786.09,,FALSE
4d.6f,1D,2,86190.52,,FALSE
4d.6f,3D,1,86262.50,,FALSE
4d.6f,3D,3,86711.71,,FALSE
4d.6f,3D,2,86717.23,,FALSE
4d.6f,1F,3,86823.25,,FALSE
4d.6f,3P,2,86899.0,,FALSE
4d.6f,3P,1,86922.91,,FALSE
4d.6f,1H,5,86989.837,,FALSE
4d.6f,1P,1,87052.64,,FALSE
5s.5f,3F,2,87218.7,,FALSE
5s.5f,3F,3,87219.1,,FALSE
5s.5f,3F,4,87222.4,,FALSE
4d.7f,3G,3,89343.7,,FALSE
4d.7f,3G,4,90097.8,,FALSE
4d.7f,3G,5,90134.8,,FALSE
4d.7f,3H,5,89439.3,,FALSE
4d.7f,3D,3,89477.1,,FALSE
4d.7f,3D,2,89506.9,,FALSE
4d.7f,3D,1,89530.6,,FALSE
4d.7f,3F,3,90104.9,,FALSE
4d.7f,3P,2,90200.2,,FALSE
4d.7f,3P,1,90212.3,,FALSE
4d.7f,1H,5,90257.6,,FALSE
