n, conf, , term, E_n (a.u.), DEL (cm^-1), S, L, , gf, conf%, conf2, , conf2% 
1,5s.5p,3P0,1.46536933,0,1,1,0,-----,98.1%

2,5s.5p,3P1,1.46084969,991.9,1,1,1,1.498,98.0%

3,5s.5p,3P2,1.45089471,3176.8,1,1,2,1.5,97.9%

4,5s.5p,1P1,1.35667387,23855.9,0.01,1,1,1.002,89.2%

5,5s.6p,3P0,1.17944176,62753.8,1,1,0,-----,87.9%

6,5s.6p,3P1,1.17857869,62943.3,0.99,1,1,1.49,87.7%

7,5s.6p,3P2,1.17617202,63471.5,1,1,2,1.5,87.8%

8,5s.6p,1P1,1.16720151,65440.3,0.04,1,1,1.01,76.9%

9,5s.4f,3F2,1.11046242,77893.1,1,3,2,0.667,72.5%

0.1,5s.4f,3F3,1.11042475,77901.3,0.85,3,3,1.065,72.4%

0.11,5s.4f,3F4,1.11026159,77937.1,1,3,4,1.25,72.4%

0.12,5s.4f,2F3,1.11018794,77953.3,0.33,3,3,1.018,72.2%

0.13,5s.7p,3P0,1.09375617,81559.7,1,1,0,-----,66.5%,5s.8p,27.0%

0.14,5s.7p,3P1,1.09342454,81632.4,0.97,1,1,1.479,66.1%,5s.8p,27.3%

0.15,5s.7p,3P2,1.09234494,81869.4,1,1,2,1.5,66.1%,5s.8p,27.4%

0.16,5s.7p,1P1,1.09016557,82347.7,0.08,1,1,1.021,57.8%,5s.8p,32.4%

0.17,5s.6f,3F2,1.06353748,88191.9,1,3,2,0.667,51.3%,5s.5f,35.6%

0.18,5s.6f,3F3,1.06348287,88203.9,0.88,3,3,1.069,51.7%,5s.5f,35.3%

0.19,5s.6f,3F4,1.06333193,88237,1,3,4,1.25,52.3%,5s.5f,34.8%

0.2,5s.6f,2F3,1.0632545,88254,0.27,3,3,1.014,52.6%,5s.5f,34.5%

0.21,5s.9p,3P0,1.05395714,90294.5,1,1,0,-----,47.9%,5s.8p,39.9%

0.22,5s.9p,3P1,1.05379866,90329.3,0.95,1,1,1.462,48.3%,5s.8p,39.4%

0.23,5s.9p,3P2,1.05320524,90459.6,1,1,2,1.5,48.4%,5s.8p,39.3%

0.24,5s.9p,1P1,1.05257834,90597.2,0.13,1,1,1.038,51.0%,5s.8p,34.7%

0.25,5s.7f,3F2,1.03801899,93792.6,1,3,2,0.667,69.1%,5s.5f,12.3%

0.26,5s.7f,3F3,1.03795164,93807.3,0.92,3,3,1.074,69.5%,5s.5f,12.3%

0.27,5s.7f,3F4,1.03781811,93836.6,1,3,4,1.25,70.2%

0.28,5s.7f,1F3,1.03772812,93856.4,0.2,3,3,1.01,70.7%

0.29,5s.6h,3H4,1.0358776,94262.5,1,5,4,0.8,59.2%,5s.7h,39.7%

0.3,5s.6h,2H5,1.03587754,94262.6,0.6,5,5,1.016,59.2%,5s.7h,39.7%

0.31,5s.6h,2H5,1.03587367,94263.4,0.64,5,5,1.018,59.2%,5s.7h,39.7%

0.32,5s.6h,3H6,1.03587362,94263.4,1,5,6,1.167,59.2%,5s.7h,39.7%

0.33,5s.10p,3P0,1.03199253,95115.2,1,1,0,-----,66.6%,5s.9p,17.0%

0.34,5s.10p,3P1,1.03191001,95133.3,0.91,1,1,1.436,67.0%,5s.9p,16.5%

0.35,5s.10p,3P2,1.03156813,95208.4,1,1,2,1.5,67.4%,5s.9p,16.2%

0.36,5s.10p,1P1,1.03144981,95234.3,0.21,1,1,1.064,67.3%,5s.9p,15.0%

0.37,5s.8f,3F2,1.0226086,97174.7,1,3,2,0.667,74.5%

0.38,5s.8f,3F3,1.02253275,97191.4,0.94,3,3,1.076,74.7%

0.39,5s.8f,3F4,1.02241104,97218.1,1,3,4,1.25,74.9%

0.4,5s.8f,1F3,1.02231243,97239.8,0.15,3,3,1.007,75.2%

