 Config   Term   J   Level (cm⁻¹) Uncertainty (cm-1) Final Config    OrgConfig1   CorConfig1   Config2   Term   J   Level (cm⁻¹)   Uncertainty (cm⁻¹)   Level (au)     ΔE     ΔE%
    5s2     1S   0            0.0                nan          5s2           5s2          5s2         -     1S   0            0.0                    0   0.61713606    0.0      0%
   5s4d     3D   1       18159.04              0.003         5s4d          5s4d         5s4d         -     3D   1        18210.6                  197   0.53416262   51.6   0.28%
   5s4d     3D   2      18218.784              0.003         5s4d          5s4d         5s4d         -     3D   2        18274.4                  190   0.53387183   55.6   0.31%
   5s4d     3D   3      18319.261              0.004         5s4d          5s4d         5s4d         -     3D   3        18379.9                  176   0.53339108   60.6   0.33%
   5s4d     1D   2      20149.685              0.003         5s4d          5s4d         5s4d         -     1D   2        20352.3                   95   0.52440423  202.6   1.01%
   5s6s     3S   1      29038.773              0.004         5s6s          5s6s         5s6s         -     3S   1        29223.7                  170   0.48398302  184.9   0.64%
   5s6s     1S   0      30591.825              0.016         5s6s          5s6s         5s6s         -     1S   0        30775.8                  179   0.47691138  184.0    0.6%
   5s5d     1D   2      34727.447              0.005         5s5d          5s5d         5s5d      5s6d     1D   2        34914.8                  126   0.45805239  187.4   0.54%
   5s5d     3D   1      35006.908              0.007         5s5d          5s5d         5s5d      5s6d     3D   1        35192.7                  175   0.45678647  185.8   0.53%
   5s5d     3D   2      35021.989              0.012         5s5d          5s5d         5s5d      5s6d     3D   2        35208.0                  175   0.45671672  186.0   0.53%
   5s5d     3D   3      35045.019              0.008         5s5d          5s5d         5s5d      5s6d     3D   3        35231.0                  176   0.45661163  186.0   0.53%
    5p2     3P   0      35193.442              0.019          5p2           5p2          5p2       4d2     3P   0        35472.0                  270   0.45551366  278.6   0.79%
    5p2     3P   1      35400.105              0.005          5p2           5p2          5p2       4d2     3P   1        35677.9                  272   0.45457577  277.8   0.78%
    5p2     3P   2      35674.637              0.008          5p2           5p2          5p2       4d2     3P   2        35950.1                  263   0.45333518  275.5   0.77%
    4d2     1D   2      36960.842              0.005          4d2           4d2          4d2       5p2     1D   2        37157.7                   82   0.44783318  196.9   0.53%
    5p2     1S   0      37160.234              0.005          5p2          5s7s         5s7s       5p2     1S   0        37433.3                  165   0.44657726  273.1   0.73%
   5s7s     3S   1      37424.675              0.005         5s7s          5s7s         5s7s      5s8s     3S   1        37608.0                  196   0.44578155  183.3   0.49%
      -      -   -              -                  -            -           4d2          4d2         -     3F   2        38163.7                  300   0.44324956      -       -
      -      -   -              -                  -            -           4d2          4d2         -     3F   3        38247.6                  293   0.44286739      -       -
      -      -   -              -                  -            -           4d2          4d2         -     3F   4        38360.5                  276   0.44235285      -       -
   5s7s     1S   0      38444.013              0.007         5s7s          5s8s         5s7s       5p2     1S   0        38691.6                  206   0.44084423  247.6   0.64%
   5s6d     3D   1       39685.83              0.017         5s6d          5s7d         5s7d      5s6d     3D   1        39867.6                  195   0.43548582  181.8   0.46%
   5s6d     3D   2      39690.802              0.009         5s6d          5s7d         5s7d      5s6d     3D   2        39872.8                  194   0.43546205  182.0   0.46%
   5s6d     3D   3      39703.109              0.009         5s6d          5s7d         5s7d      5s6d     3D   3        39885.0                  196   0.43540666  181.9   0.46%
   5s6d     1D   2      39733.067              0.009         5s6d          5s7d         5s7d      5s6d     1D   2        39920.7                  178   0.43524398  187.6   0.47%
   5s8s     3S   1      40761.372               0.02         5s8s          5s9s         5s9s      5s8s     3S   1        40942.3                   67   0.43058944  180.9   0.44%
      -      -   -              -                  -            -           4d2          4d2         -     1G   4        41170.6                   25   0.42954918      -       -
   5s8s     1S   0      41052.324              0.019         5s8s          5s9s         5s8s         -     1S   0        41241.2                  208   0.42922734  188.9   0.46%
      -      -   -              -                  -            -          5s6g         5s6g      5s5g     3G   3        41689.6                  212   0.42718444      -       -
      -      -   -              -                  -            -          5s6g         5s6g      5s5g     1G   4        41689.8                  212   0.42718341      -       -
      -      -   -              -                  -            -          5s6g         5s6g      5s5g     3G   5        41690.2                  212   0.42718141      -       -
      -      -   -              -                  -            -          5s6g         5s6g      5s5g     3G   4        41691.6                  212   0.42717534      -       -
   5s7d     1D   2      41831.448              0.021         5s7d          5s8d         5s7d      5s9d     1D   2        42013.2                  190   0.42570969  181.8   0.43%
   5s7d     3D   1      41864.354              0.008         5s7d          5s8d         5s7d      5s9d     3D   1        42041.9                  203   0.42557912  177.5   0.42%
   5s7d     3D   2       41869.27               0.01         5s7d          5s8d         5s7d      5s9d     3D   2        42047.0                  203   0.42555588  177.7   0.42%
   5s7d     3D   3      41874.859               0.01         5s7d          5s8d         5s7d      5s9d     3D   3        42052.5                  203   0.42553081  177.6   0.42%
   5s9s     3S   1       42451.16               0.35         5s9s         5s10s         5s9s         -     3S   1        42626.0                  211   0.42291753  174.8   0.41%
   5s9s     1S   0      42596.572              0.022         5s9s         5s10s         5s9s     5s11s     1S   0        42780.5                  213   0.42221364  183.9   0.43%
      -      -   -              -                  -            -          5s7g         5s7g      5s8g     3G   3        43040.1                  212   0.42103076      -       -
      -      -   -              -                  -            -          5s7g         5s7g      5s8g     1G   4        43040.3                  212   0.42103021      -       -
      -      -   -              -                  -            -          5s7g         5s7g      5s8g     3G   5        43040.6                  212   0.42102867      -       -
      -      -   -              -                  -            -          5s7g         5s7g      5s8g     3G   4        43041.0                  212   0.42102695      -       -
   5s8d     3D   2      43070.268              0.009            -             -            -         -      -   -              -                    -            -      -       -
   5s8d     1D   2      43021.058              0.023         5s8d          5s9d         5s8d     5s10d     1D   2        43203.3                  193   0.42028731  182.2   0.42%
      -      -   -              -                  -            -         5s10d         5s8d      5s9d     3D   1        43245.6                  202    0.4200946      -       -
      -      -   -              -                  -            -         5s10d        5s10d      5s9d     3D   2        43249.1                  203   0.42007861      -       -
   5s8d     3D   3      43074.728               0.01         5s8d         5s10d         5s8d      5s9d     3D   3        43253.5                  204   0.42005856  178.8   0.42%
  5s10s     3S   1       43427.44               0.19        5s10s         5s11s        5s10s     5s12s     3S   1        43601.5                  211   0.41847302  174.1    0.4%
  5s10s     1S   0      43512.166              0.001        5s10s         5s11s        5s10s     5s12s     1S   0        43692.9                  214   0.41805677  180.7   0.42%
   5s9d     1D   2      43755.755              0.025            -             -            -         -      -   -              -                    -            -      -       -
      -      -   -              -                  -            -          5s9g         5s8g     5s10g     3G   3        43854.9                  212   0.41731845      -       -
      -      -   -              -                  -            -          5s9g         5s8g     5s10g     1G   4        43855.0                  212   0.41731809      -       -
      -      -   -              -                  -            -          5s9g         5s8g     5s10g     3G   5        43855.2                  212     0.417317      -       -
      -      -   -              -                  -            -          5s9g         5s8g     5s10g     3G   4        43855.4                  212   0.41731596      -       -
      -      -   -              -                  -            -         5s11d        5s11d     5s10d     1D   2        43939.5                  195   0.41693316      -       -
      -      -   -              -                  -            -         5s11d         5s9d      5s9d     3D   1        43982.0                  202   0.41673947      -       -
   5s9d     3D   2       43804.89              0.025         5s9d         5s11d         5s9d      5s9d     3D   2        43985.0                  203   0.41672559  180.1   0.41%
      -      -   -              -                  -            -         5s11d         5s9d      5s9d     3D   3        43988.9                  205   0.41670792      -       -
  5s11s     3S   1       44043.35                0.2        5s11s         5s12s        5s11s     5s13s     3S   1        44223.9                  211   0.41563732  180.6   0.41%
  5s11s     1S   0      44097.122              0.001        5s11s         5s12s        5s11s     5s13s     1S   0        44274.1                  213   0.41540863  177.0    0.4%
