 Config   Term   J   Level (cm⁻¹) Uncertainty (cm-1) Final Config   Config1   Config2   Term   J   Level (cm⁻¹)   Uncertainty (cm⁻¹)   Level (au)     ΔE     ΔE%
    5s2     1S   0              0                             5s2       5s2         -     1S   0            0.0                        0.61713606    0.0      0%
  5s.4d     3D   1       18159.04              0.003        5s.4d     5s.4d         -     3D   1        18210.6                        0.53416262   51.6   0.28%
  5s.4d     3D   2      18218.784              0.003        5s.4d     5s.4d         -     3D   2        18274.4                        0.53387183   55.6   0.31%
  5s.4d     3D   3      18319.261              0.004        5s.4d     5s.4d         -     3D   3        18379.9                        0.53339108   60.6   0.33%
  5s.4d     1D   2      20149.685              0.003        5s.4d     5s.4d         -     1D   2        20352.3                        0.52440423  202.6   1.01%
  5s.6s     3S   1      29038.773              0.004        5s.6s     5s.6s         -     3S   1        29223.7                        0.48398302  184.9   0.64%
  5s.6s     1S   0      30591.825              0.016        5s.6s     5s.6s         -     1S   0        30775.8                        0.47691138  184.0    0.6%
  5s.5d     1D   2      34727.447              0.005        5s.5d     5s.5d     5s.6d     1D   2        34914.8                        0.45805239  187.4   0.54%
  5s.5d     3D   1      35006.908              0.007        5s.5d     5s.5d     5s.6d     3D   1        35192.7                        0.45678647  185.8   0.53%
  5s.5d     3D   2      35021.989              0.012        5s.5d     5s.5d     5s.6d     3D   2        35208.0                        0.45671672  186.0   0.53%
  5s.5d     3D   3      35045.019              0.008        5s.5d     5s.5d     5s.6d     3D   3        35231.0                        0.45661163  186.0   0.53%
    5p2     3P   0      35193.442              0.019          5p2       5p2       4d2     3P   0        35472.0                        0.45551366  278.6   0.79%
    5p2     3P   1      35400.105              0.005          5p2       5p2       4d2     3P   1        35677.9                        0.45457577  277.8   0.78%
    5p2     3P   2      35674.637              0.008          5p2       5p2       4d2     3P   2        35950.1                        0.45333518  275.5   0.77%
    4d2     1D   2      36960.842              0.005          4d2       4d2       5p2     1D   2        37157.7                        0.44783318  196.9   0.53%
    5p2     1S   0      37160.234              0.005          5p2     5s.7s       5p2     1S   0        37433.3                        0.44657726  273.1   0.73%
  5s.7s     3S   1      37424.675              0.005        5s.7s     5s.7s     5s.8s     3S   1        37608.0                        0.44578155  183.3   0.49%
    4d2     3F   2              -                  -          4d2       4d2         -     3F   2        38163.7                        0.44324956      -       -
    4d2     3F   3              -                  -          4d2       4d2         -     3F   3        38247.6                        0.44286739      -       -
    4d2     3F   4              -                  -          4d2       4d2         -     3F   4        38360.5                        0.44235285      -       -
    4d2     1G   4              -                  -          4d2       4d2         -     1G   4        41170.6                        0.42954918      -       -
