state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s2,1S,0,0.000000000,0.0000,FALSE
5s.6s,3S,1,93923.884,0.005,FALSE
5s.6s,1S,0,97030.212,0.012,FALSE
5s.5d,1D,2,97628.436,0.009,FALSE
5p2,3P,0,101608.06,0.20,FALSE
5p2,3P,1,103249.39,0.19,FALSE
5p2,3P,2,105565.283,0.012,FALSE
5s.5d,3D,1,102088.72,0.04,FALSE
5s.5d,3D,2,102174.69,0.03,FALSE
5s.5d,3D,3,102308.397,0.020,FALSE
5p2,1D,2,113884.919,0.011,FALSE
5p2,1S,0,121289.53,0.03,FALSE
5s.7s,3S,1,121442.541,0.012,FALSE
5s.7s,1S,0,123372.848,0.018,FALSE
5s.6d,3D,1,124742.729,0.006,FALSE
5s.6d,3D,2,124776.714,0.006,FALSE
5s.6d,3D,3,124830.176,0.008,FALSE
5s.6d,1D,2,126670.945,0.008,FALSE
5s.8s,3S,1,133072.511,0.007,FALSE
5s.8s,1S,0,133554.382,0.014,FALSE
5s.7d,3D,1,134726.488,0.010,FALSE
5s.7d,3D,2,134744.019,0.009,FALSE
5s.7d,3D,3,134771.897,0.009,FALSE
5s.7d,1D,2,135400.325,0.010,FALSE
5s.9s,3S,1,139137.055,0.023,FALSE
5s.9s,1S,0,139387.30,0.05,FALSE
5s.8d,3D,1,140082.23,0.03,FALSE
5s.8d,3D,2,140092.64,0.04,FALSE
5s.8d,3D,3,140109.05,0.05,FALSE
5s.8d,1D,2,140408.36,0.05,FALSE
5s.10s,3S,1,142708.324,0.025,FALSE
5s.10s,1S,0,142856.86,0.03,FALSE
5s.9d,3D,1,143298.47,0.04,FALSE
5s.9d,3D,2,143305.21,0.03,FALSE
5s.9d,3D,3,143315.78,0.14,FALSE
5s.9d,1D,2,143483.89,0.07,FALSE
5s.11s,3S,1,144989.99,0.04,FALSE
5s.11s,1S,0,145086.25,0.04,FALSE
5s.10d,3D,1,145382.99,0.04,FALSE
5s.10d,3D,2,145387.70,0.06,FALSE
5s.10d,3D,3,145394.94,0.04,FALSE
5s.10d,1D,2,145499.56,0.07,FALSE
5s.12s,3S,1,146537.16,0.04,FALSE
5s.12s,1S,0,146602.97,0.05,FALSE
5s.11d,3D,1,146812.50,0.09,FALSE
5s.11d,3D,2,146815.24,0.09,FALSE
5s.11d,3D,3,146820.60,0.13,FALSE
5s.11d,1D,2,146890.14,0.11,FALSE
5s.13s,3S,1,147634.61,0.06,FALSE
5s.13s,1S,0,147681.43,0.07,FALSE
5s.12d,3D,1,147833.52,0.08,FALSE
5s.12d,3D,2,147836.29,0.17,FALSE
5s.12d,3D,3,147840.27,0.19,FALSE
5s.12d,1D,2,147888.97,0.14,FALSE
5s.14s,3S,1,148440.88,0.07,FALSE
5s.14s,1S,0,148475.56,0.22,FALSE
5s.13d,3D,1,148589.72,0.20,FALSE
5s.13d,3D,2,148592.29,0.18,FALSE
5s.13d,3D,3,148595.76,0.20,FALSE
5s.13d,1D,2,148630.83,0.17,FALSE
5s.15s,3S,1,149050.95,0.08,FALSE
5s.15s,1S,0,149077.3,0.3,FALSE
5s.14d,3D,1,149165.33,0.17,FALSE
5s.14d,3D,2,149168.03,0.25,FALSE
5s.14d,3D,3,149170.15,0.18,FALSE
5s.14d,1D,2,149196.30,0.22,FALSE
5s.16s,3S,1,149523.97,0.17,FALSE
5s.16s,1S,0,149544.20,0.20,FALSE
5s.15d,3D,1,149614.22,0.22,FALSE
5s.15d,3D,2,149614.68,0.20,FALSE
5s.15d,3D,3,149617.48,0.18,FALSE
5s.15d,1D,2,149638.1,0.3,FALSE
5s.17s,3S,1,149897.11,0.20,FALSE
5s.17s,1S,0,149913.51,0.22,FALSE
5s.16d,3D,1,149968.7,0.4,FALSE
5s.16d,3D,2,149971.5,0.3,FALSE
5s.16d,3D,3,149972.30,0.20,FALSE
5s.16d,1D,2,149988.21,0.22,FALSE
5s.18s,3S,1,150198.20,0.22,FALSE
5s.18s,1S,0,150210.90,0.22,FALSE
5s.17d,3D,1,150258.0,0.5,FALSE
5s.17d,3D,2,150258.0,0.5,FALSE
5s.17d,3D,3,150258.68,0.22,FALSE
5s.17d,1D,2,150271.9,0.3,FALSE
5s.19s,3S,1,150443.52,0.22,FALSE
5s.19s,1S,0,150453.83,0.22,FALSE
5s.18d,3D,1,150491.1,0.3,FALSE
5s.18d,3D,2,150493.5,0.4,FALSE
5s.18d,3D,3,150493.5,0.3,FALSE
5s.18d,1D,2,150503.81,0.22,FALSE
5s.19d,3D,1,150686.56,0.22,FALSE
5s.19d,3D,2,150687.03,0.22,FALSE
5s.19d,3D,3,150687.8,0.3,FALSE
I0 III ,L,---,152200.10,0.22,FALSE
