state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s.5p,3P,0,42275.995245348,0.000000008,FALSE
5s.5p,3P,1,43350.5817,0.0015,FALSE
5s.5p,3P,2,45829.256,0.006,FALSE
5s.5p,1P,1,63038.546,0.010,FALSE
5s.6p,3P,0,107662.707,0.006,FALSE
5s.6p,3P,1,107841.992,0.006,FALSE
5s.6p,3P,2,108430.337,0.006,FALSE
5s.6p,1P,1,109780.221,0.008,FALSE
5s.4f,3F,2,123642.95,0.03,FALSE
5s.4f,3F,3,123648.096,0.024,FALSE
5s.4f,3F,4,123664.85,0.03,FALSE
5s.4f,1F,3,123699.170,0.010,FALSE
5s.7p,3P,0,126932.875,0.022,FALSE
5s.7p,3P,1,126994.890,0.011,FALSE
5s.7p,3P,2,127254.067,0.007,FALSE
5s.7p,1P,1,127573.319,0.010,FALSE
5s.5f,3F,2,133940.74,0.04,FALSE
5s.5f,3F,3,133944.72,0.06,FALSE
5s.5f,3F,4,133960.87,0.03,FALSE
5s.5f,1F,3,133984.85,0.06,FALSE
5s.8p,3P,0,135823,11,FALSE
5s.8p,3P,1,135861.62,0.05,FALSE
5s.8p,3P,2,135999.37,0.23,FALSE
5s.8p,1P,1,136096.93,0.09,FALSE
5s.6f,3F,2,139549.42,0.10,FALSE
5s.6f,3F,3,139552.75,0.07,FALSE
5s.6f,3F,4,139567.37,0.14,FALSE
5s.6f,1F,3,139586.14,0.09,FALSE
5s.9p,3P,0,140716,17,FALSE
5s.9p,3P,1,140734.59,0.05,FALSE
5s.9p,3P,2,140822.48,0.18,FALSE
5s.9p,1P,1,140845.00,0.04,FALSE
5s.7f,3F,2,142927.81,0.03,FALSE
5s.7f,3F,3,142930.22,0.05,FALSE
5s.7f,3F,4,142943.23,0.15,FALSE
5s.7f,1F,3,142959.77,0.09,FALSE
5s.10p,3P,0,143676,17,FALSE
5s.10p,3P,1,143706.54,0.08,FALSE
5s.10p,3P,2,143740.9,0.3,FALSE
5s.10p,1P,1,143763.10,0.08,FALSE
5s.8f,3F,2,145115.79,0.13,FALSE
5s.8f,3F,3,145117.59,0.11,FALSE
5s.8f,3F,4,145129.44,0.20,FALSE
5s.8f,1F,3,145144.45,0.11,FALSE
5s.11p,3P,1,145655.81,0.18,FALSE
5s.11p,1P,1,145683.72,0.14,FALSE
5s.9f,3F,3,146612.28,0.11,FALSE
5s.9f,3F,2,146614.22,0.04,FALSE
5s.9f,3F,4,146624.75,0.15,FALSE
5s.9f,1F,3,146638.37,0.13,FALSE
5s.12p,1P,1,147016,10,FALSE
5s.10f,3F,3,147680.47,0.13,FALSE
5s.10f,3F,2,147682.61,0.14,FALSE
5s.10f,3F,4,147691.91,0.14,FALSE
5s.10f,1F,3,147704.35,0.16,FALSE
5s.11f,3F,3,148468.39,0.14,FALSE
5s.11f,3F,2,148472.06,0.13,FALSE
5s.11f,3F,4,148479.98,0.14,FALSE
5s.11f,1F,3,148491.51,0.14,FALSE
5s.12f,3F,3,149067.58,0.24,FALSE
5s.12f,3F,2,149070.69,0.20,FALSE
5s.12f,3F,4,149078.76,0.20,FALSE
5s.12f,1F,3,149088.88,0.20,FALSE
