state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s2,1S,0,0.000,,FALSE
5s.4d,3D,1,18159.040,0.003,FALSE
5s.4d,3D,2,18218.784,0.003,FALSE
5s.4d,3D,3,18319.261,0.004,FALSE
5s.4d,1D,2,20149.685,0.003,FALSE
5s.6s,3S,1,29038.773,0.004,FALSE
5s.6s,1S,0,30591.825,0.016,FALSE
5s.5d,1D,2,34727.447,0.005,FALSE
5s.5d,3D,1,35006.908,0.007,FALSE
5s.5d,3D,2,35021.989,0.012,FALSE
5s.5d,3D,3,35045.019,0.008,FALSE
5p2,3P,0,35193.442,0.019,FALSE
5p2,3P,1,35400.105,0.005,FALSE
5p2,3P,2,35674.637,0.008,FALSE
4d2,1D,2,36960.842,0.005,FALSE
5p2,1S,0,37160.234,0.005,FALSE
5s.7s,3S,1,37424.675,0.005,FALSE
5s.7s,1S,0,38444.013,0.007,FALSE
5s.6d,3D,1,39685.830,0.017,FALSE
5s.6d,3D,2,39690.802,0.009,FALSE
5s.6d,3D,3,39703.109,0.009,FALSE
5s.6d,1D,2,39733.067,0.009,FALSE
5s.8s,3S,1,40761.372,0.020,FALSE
5s.8s,1S,0,41052.324,0.019,FALSE
5s.7d,1D,2,41831.448,0.021,FALSE
5s.7d,3D,1,41864.354,0.008,FALSE
5s.7d,3D,2,41869.270,0.010,FALSE
5s.7d,3D,3,41874.859,0.010,FALSE
5s.9s,3S,1,42451.16,0.35,FALSE
5s.9s,1S,0,42596.572,0.022,FALSE
5s.8d,1D,2,43021.058,0.023,FALSE
5s.8d,3D,2,43070.268,0.009,FALSE
5s.8d,3D,3,43074.728,0.010,FALSE
5s.10s,3S,1,43427.44,0.19,FALSE
5s.10s,1S,0,43512.1658,0.0010,FALSE
5s.9d,1D,2,43755.755,0.025,FALSE
5s.9d,3D,2,43804.890,0.025,FALSE
5s.11s,3S,1,44043.35,0.20,FALSE
5s.11s,1S,0,44097.1224,0.0010,FALSE
5s.10d,1D,2,44239.4549,0.0010,FALSE
5s.10d,3D,2,44286.91,0.20,FALSE
5s.12s,3S,1,44456.25,0.21,FALSE
5s.12s,1S,0,44492.8348,0.0010,FALSE
4d2,3P,0,44525.838,0.010,FALSE
4d2,3P,1,44595.920,0.009,FALSE
4d2,3P,2,44729.627,0.010,FALSE
5s.11d,1D,2,44578.6890,0.0010,FALSE
5s.11d,3D,2,44619.84,0.20,FALSE
5s.13s,3S,1,44747.65,0.15,FALSE
5s.13s,1S,0,44773.6707,0.0010,FALSE
5s.12d,1D,2,44829.6648,0.0010,FALSE
5s.12d,3D,1,44854.02,0.15,FALSE
5s.12d,3D,2,44860.06,0.15,FALSE
5s.12d,3D,3,44865.22,0.15,FALSE
5s.14s,3S,1,44960.22,0.15,FALSE
5s.14s,1S,0,44979.4540,0.0010,FALSE
5s.13d,1D,2,45012.0249,0.0010,FALSE
5s.13d,3D,1,45028.55,0.15,FALSE
5s.13d,3D,2,45036.95,0.15,FALSE
5s.13d,3D,3,45043.79,0.15,FALSE
5s.15s,3S,1,45120.41,0.15,FALSE
5s.15s,1S,0,45134.9242,0.0010,FALSE
5s.14d,1D,2,45153.2785,0.0010,FALSE
5s.14d,3D,1,45159.60,0.15,FALSE
5s.14d,3D,2,45171.49,0.15,FALSE
5s.14d,3D,3,45180.44,0.15,FALSE
5s.16s,3S,1,45243.88,0.15,FALSE
5s.16s,1S,0,45255.2295,0.0010,FALSE
5s.15d,3D,1,45260.84,0.15,FALSE
5s.15d,3D,2,45276.65,0.15,FALSE
5s.15d,3D,3,45286.53,0.15,FALSE
5s.15d,1D,2,45263.6196,0.0010,FALSE
5s.17s,3S,1,45341.28,0.15,FALSE
5s.16d,3D,1,45341.36,0.15,FALSE
5s.16d,3D,2,45350.35,0.15,FALSE
5s.16d,3D,3,45370.76,0.15,FALSE
5s.17s,1S,0,45350.2296,0.0010,FALSE
5s.16d,1D,2,45362.1272,0.0010,FALSE
5s.17d,3D,1,45414.43,0.15,FALSE
5s.17d,3D,2,45420.84,0.15,FALSE
5s.17d,3D,3,45439.08,0.15,FALSE
5s.18s,3S,1,45419.29,0.15,FALSE
5s.18s,1S,0,45426.5505,0.0010,FALSE
5s.17d,1D,2,45433.2717,0.0010,FALSE
5s.18d,3D,1,45475.35,0.15,FALSE
5s.18d,3D,2,45479.88,0.15,FALSE
5s.18d,3D,3,45495.02,0.15,FALSE
5s.19s,3S,1,45482.89,0.01,FALSE
5s.19s,1S,0,45488.7860,0.0010,FALSE
5s.18d,1D,2,45492.6101,0.0010,FALSE
5s.19d,3D,1,45527.10,0.15,FALSE
5s.19d,3D,2,45530.18,0.15,FALSE
5s.19d,3D,3,45542.30,0.04,FALSE
5s.20s,3S,1,45535.32,0.01,FALSE
5s.20s,1S,0,45540.2024,0.0010,FALSE
5s.19d,1D,2,45542.2955,0.0010,FALSE
5s.20d,3D,1,45570.97,0.04,FALSE
5s.20d,3D,2,45573.28,0.04,FALSE
5s.20d,3D,3,45582.36,0.04,FALSE
5s.20d,1D,2,45584.1831,0.0010,FALSE
Sr II ,L,---,45932.2036,0.0010,FALSE
5p2,1D,2,46380.1,2.0,FALSE
4d.5d,3F,2,51036.49,0.05,FALSE
4d.5d,3F,3,51150.30,0.05,FALSE
4d.5d,3F,4,51254.06,0.05,FALSE
4d.5d,1D,2,51356.00,0.24,FALSE
4d.5d,3P,1,51439.66,0.17,FALSE
4d.5d,3P,2,51555.06,0.10,FALSE
4d.6d,"(3/2,3/2)",1,54139.2,0.2,FALSE
4d.6d,"(3/2,3/2)",2,54891.30,0.20,FALSE
4d.6d,"(3/2,3/2)",0,54999.9,0.2,FALSE
4d.6d,"(3/2,5/2)",2,54140.5,0.2,FALSE
4d.6d,"(3/2,5/2)",1,54308.5,0.2,FALSE
4d.6d,"(5/2,5/2)",1,54469.5,0.2,FALSE
4d.6d,"(5/2,5/2)",4,55119.40,0.15,FALSE
4d.6d,"(5/2,5/2)",2,55234.2,0.2,FALSE
4d.6d,"(5/2,5/2)",0,55428.3,0.2,FALSE
4d.6d,"(5/2,3/2)",3,55033.33,0.05,FALSE
4d.6d,"(5/2,3/2)",2,55088.2,0.2,FALSE
4d.6d,"(5/2,3/2)",1,55113.7,0.2,FALSE
4d.8s,"(3/2,1/2)",1,55557.5,0.6,FALSE
4d.8s,"(3/2,1/2)",2,55560,5.,FALSE
4d.8s,"(5/2,1/2)",2,55802,30,FALSE
4d.8s,"(5/2,1/2)",3,55824.4,0.6,FALSE
4d.5g,2[5/2],2,56063.0,0.2,FALSE
4d.5g,2[5/2],2,56341.9,0.2,FALSE
4d.5g,2[3/2],2,56352.4,0.2,FALSE
4d.7d,"(3/2,3/2)",1,56366.9,0.2,FALSE
4d.7d,"(3/2,3/2)",2,56769.0,0.2,FALSE
4d.7d,"(3/2,3/2)",0,56795.4,0.2,FALSE
4d.7d,"(3/2,5/2)",2,56485.4,0.2,FALSE
4d.7d,"(5/2,5/2)",1,56676.0,0.2,FALSE
4d.7d,"(5/2,5/2)",2,57069.6,0.2,FALSE
4d.7d,"(5/2,5/2)",0,57142.9,0.2,FALSE
4d.7d,"(5/2,3/2)",2,56950.5,0.2,FALSE
4d.6g,2[5/2],2,57409.9,0.2,FALSE
4d.8d,"(3/2,5/2)",1,57639.3,0.2,FALSE
4d.8d,"(3/2,5/2)",2,57658.5,0.2,FALSE
4d.8d,"(3/2,3/2)",1,57683.8,0.2,FALSE
4d.8d,"(3/2,3/2)",2,57819.9,0.2,FALSE
4d.8d,"(3/2,3/2)",0,57844.2,0.2,FALSE
4d.6g,2[5/2],2,57691.4,0.2,FALSE
4d.6g,2[3/2],2,57695.3,0.2,FALSE
4d.6g,2[3/2],1,57699.5,0.2,FALSE
4d.8d,"(5/2,5/2)",1,57836.4,0.2,FALSE
4d.8d,"(5/2,5/2)",2,58117.2,0.2,FALSE
4d.8d,"(5/2,5/2)",0,58154.8,0.2,FALSE
4d.8d,"(5/2,3/2)",1,57975.5,0.2,FALSE
4d.8d,"(5/2,3/2)",2,58021.8,0.2,FALSE
4d.10s,"(3/2,1/2)",1,58095.2,0.2,FALSE
4d.9d,"(3/2,3/2)",1,58378.1,0.2,FALSE
4d.9d,"(3/2,3/2)",0,58431.1,0.2,FALSE
4d.9d,"(3/2,3/2)",2,58498.0,0.2,FALSE
4d.9d,"(3/2,5/2)",1,58417.1,0.2,FALSE
4d.9d,"(3/2,5/2)",2,58443.4,0.2,FALSE
4d.7g,2[5/2],2,58508.3,0.2,FALSE
4d.7g,2[3/2],2,58510.6,0.2,FALSE
4d.9d,"(5/2,5/2)",1,58642.0,0.2,FALSE
4d.9d,"(5/2,5/2)",0,58709.9,0.2,FALSE
4d.9d,"(5/2,5/2)",2,58763.8,0.2,FALSE
4d.9d,"(5/2,3/2)",1,58666.5,0.2,FALSE
4d.9d,"(5/2,3/2)",2,58687.0,0.2,FALSE
4d.8g,2[5/2],2,58755.1,0.2,FALSE
4d.10d,"(3/2,5/2)",1,58821.2,0.2,FALSE
4d.10d,"(3/2,5/2)",2,58889.7,0.2,FALSE
