state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
5s.5p,3P,0,14317.507,0.001,FALSE
5s.5p,3P,1,14504.334,0.003,FALSE
5s.5p,3P,2,14898.545,0.004,FALSE
5s.5p,1P,1,21698.452,0.004,FALSE
4d.5p,3F,2,33266.851,0.003,FALSE
4d.5p,3F,3,33589.709,0.007,FALSE
4d.5p,3F,4,33919.315,0.006,FALSE
4d.5p,1D,2,33826.899,0.003,FALSE
5s.6p,3P,0,33853.490,0.006,FALSE
5s.6p,3P,1,33868.317,0.006,FALSE
5s.6p,3P,2,33973.065,0.004,FALSE
5s.6p,1P,1,34098.404,0.006,FALSE
4d.5p,3D,1,36264.151,0.008,FALSE
4d.5p,3D,2,36381.746,0.008,FALSE
4d.5p,3D,3,36559.492,0.006,FALSE
4d.5p,3P,0,37292.074,0.007,FALSE
4d.5p,3P,1,37302.731,0.006,FALSE
4d.5p,3P,2,37336.591,0.004,FALSE
4d.5p,1F,3,38007.742,0.016,FALSE
5s.4f,3F,2,38750.420,0.007,FALSE
5s.4f,3F,3,38752.410,0.007,FALSE
5s.4f,3F,4,38755.175,0.008,FALSE
5s.7p,1P,1,38906.858,0.010,FALSE
5s.7p,3P,0,39411.669,0.008,FALSE
5s.7p,3P,1,39426.442,0.008,FALSE
5s.7p,3P,2,39457.383,0.008,FALSE
5s.4f,1F,3,39539.013,0.007,FALSE
4d.5p,1P,1,41172.054,0.014,FALSE
5s.5f,3F,2,41364.602,0.018,FALSE
5s.5f,3F,3,41365.482,0.023,FALSE
5s.5f,3F,4,41366.67,0.23,FALSE
5s.5f,1F,3,41519.04,0.19,FALSE
5s.8p,3P,0,41712.05,0.05,FALSE
5s.8p,3P,1,41719.71,0.05,FALSE
5s.8p,3P,2,41735.98,0.05,FALSE
5s.8p,1P,1,42462.136,0.014,FALSE
5s.6f,3F,2,42777.023,0.022,FALSE
5s.6f,3F,3,42777.547,0.018,FALSE
5s.6f,3F,4,42778.121,0.009,FALSE
5s.6f,1F,3,42839.589,0.026,FALSE
5s.9p,3P,0,42985.86,0.07,FALSE
5s.9p,3P,1,42990.26,0.07,FALSE
5s.9p,3P,2,42999.79,0.07,FALSE
5s.9p,1P,1,43328.04,0.07,FALSE
5s.7f,3F,2,43623.896,0.026,FALSE
5s.7f,3F,3,43624.205,0.028,FALSE
5s.7f,3F,4,43624.479,0.009,FALSE
5s.7f,1F,3,43656.219,0.028,FALSE
5s.10p,3P,0,43758.65,0.07,FALSE
5s.10p,3P,1,43761.47,0.07,FALSE
5s.10p,3P,2,43767.58,0.07,FALSE
5s.10p,1P,1,43938.201,0.025,FALSE
5s.8f,3F,2,44170.80,0.03,FALSE
5s.8f,3F,3,44170.99,0.03,FALSE
5s.8f,3F,4,44171.32,0.03,FALSE
5s.8f,1F,3,44189.889,0.029,FALSE
5s.11p,3P,0,44262.70,0.07,FALSE
5s.11p,3P,1,44264.52,0.07,FALSE
5s.11p,3P,2,44268.72,0.07,FALSE
5s.11p,1P,1,44366.42,0.03,FALSE
5s.9f,3F,2,44544.27,0.03,FALSE
5s.9f,3F,3,44544.44,0.03,FALSE
5s.9f,3F,4,44544.63,0.03,FALSE
5s.9f,1F,3,44556.48,0.03,FALSE
5s.12p,3P,0,44609.51,0.04,FALSE
5s.12p,3P,1,44610.85,0.04,FALSE
5s.12p,3P,2,44613.78,0.04,FALSE
5s.12p,1P,1,44675.737,0.029,FALSE
5s.10f,3F,2,44810.53,0.04,FALSE
5s.10f,3F,3,44810.56,0.04,FALSE
5s.10f,3F,4,44810.72,0.04,FALSE
5s.10f,1F,3,44818.77,0.03,FALSE
5s.13p,3P,0,44858.33,0.03,FALSE
5s.13p,3P,1,44859.32,0.03,FALSE
5s.13p,3P,2,44861.46,0.03,FALSE
5s.13p,1P,1,44903.50,0.03,FALSE
5s.11f,3F,2,45006.93,0.04,FALSE
5s.11f,3F,3,45006.98,0.04,FALSE
5s.11f,3F,4,45007.11,0.04,FALSE
5s.11f,1F,3,45012.82,0.03,FALSE
5s.14p,3P,0,45043.18,0.02,FALSE
5s.14p,3P,1,45043.89,0.02,FALSE
5s.14p,3P,2,45045.54,0.02,FALSE
5s.14p,1P,1,45075.29,0.03,FALSE
5s.12f,3F,2,45155.92,0.04,FALSE
5s.12f,3F,3,45156.01,0.04,FALSE
5s.12f,3F,4,45156.08,0.04,FALSE
5s.12f,1F,3,45160.29,0.03,FALSE
5s.15p,3P,0,45183.93,0.02,FALSE
5s.15p,3P,1,45184.54,0.02,FALSE
5s.15p,3P,2,45185.79,0.02,FALSE
5s.15p,1P,1,45207.83,0.04,FALSE
5s.13f,3F,3,45271.69,0.04,FALSE
5s.13f,3F,2,45271.72,0.04,FALSE
5s.13f,3F,4,45271.78,0.04,FALSE
5s.13f,1F,3,45274.97,0.03,FALSE
5s.16p,3P,1,45294.22,0.02,FALSE
5s.16p,3P,2,45295.21,0.02,FALSE
5s.16p,1P,1,45311.99,0.04,FALSE
5s.14f,3F,2,45363.22,0.04,FALSE
5s.14f,3F,4,45363.35,0.04,FALSE
5s.14f,3F,3,45363.43,0.04,FALSE
5s.14f,1F,3,45365.90,0.03,FALSE
5s.17p,3P,1,45381.46,0.03,FALSE
5s.17p,3P,2,45382.26,0.03,FALSE
5s.17p,1P,1,45395.34,0.04,FALSE
5s.15f,3F,2,45437.09,0.04,FALSE
5s.15f,3F,3,45437.10,0.04,FALSE
5s.15f,3F,4,45437.11,0.04,FALSE
5s.15f,1F,3,45439.16,0.03,FALSE
5s.18p,3P,1,45451.87,0.01,FALSE
5s.18p,3P,2,45452.53,0.01,FALSE
5s.18p,1P,1,45463.02,0.05,FALSE
5s.16f,3F,2,45497.42,0.04,FALSE
5s.16f,3F,3,45497.43,0.04,FALSE
5s.16f,3F,4,45497.49,0.04,FALSE
5s.16f,1F,3,45499.11,0.03,FALSE
5s.19p,3P,1,45509.65,0.02,FALSE
5s.19p,3P,2,45510.20,0.02,FALSE
5s.19p,1P,1,45518.64,0.03,FALSE
5s.17f,3F,2,45547.30,0.04,FALSE
5s.17f,3F,4,45547.39,0.04,FALSE
5s.17f,3F,3,45547.41,0.04,FALSE
5s.17f,1F,3,45548.76,0.03,FALSE
5s.20p,3P,1,45557.62,0.02,FALSE
5s.20p,3P,2,45558.00,0.02,FALSE
5s.20p,1P,1,45565.00,0.03,FALSE
5s.18f,3F,2,45589.11,0.04,FALSE
5s.18f,3F,4,45589.23,0.04,FALSE
5s.18f,3F,3,45589.25,0.04,FALSE
5s.18f,1F,3,45590.32,0.03,FALSE
5s.19f,3F,4,45624.43,0.04,FALSE
5s.19f,3F,2,45624.48,0.04,FALSE
5s.19f,3F,3,45624.53,0.04,FALSE
5s.19f,1F,3,45625.48,0.03,FALSE
5s.20f,3F,3,45654.56,0.04,FALSE
5s.20f,3F,4,45654.70,0.04,FALSE
5s.20f,1F,3,45655.49,0.03,FALSE
4d.6p,3D,1,49409.86,0.14,FALSE
4d.6p,3D,2,49558.30,0.12,FALSE
4d.6p,3D,3,49665.77,0.14,FALSE
4d.6p,3P,1,49547,5.,FALSE
4d.6p,3P,2,49732.0,0.5,FALSE
4d.6p,1P,1,51099,5.,FALSE
4d.4f,2[3/2],1,53253.0,0.6,FALSE
4d.4f,2[7/2],3,53294.4,0.2,FALSE
4d.4f,2[5/2],3,53392.6,0.2,FALSE
4d.4f,2[3/2],1,53546.2,0.6,FALSE
4d.4f,2[7/2],3,53572.3,0.2,FALSE
4d.4f,2[5/2],3,53632.8,0.2,FALSE
4d.7p,2[3/2],1,54728.7,0.6,FALSE
4d.7p,2[3/2],1,55195.6,1.2,FALSE
4d.5f,"(3/2,5/2)",1,55847.3,0.6,FALSE
4d.5f,"(3/2,5/2)",3,55873.6,0.2,FALSE
4d.5f,"(3/2,7/2)",3,55972.5,0.2,FALSE
4d.5f,"(5/2,5/2)",1,56107.7,0.6,FALSE
4d.5f,"(5/2,5/2)",3,56145.4,0.2,FALSE
4d.5f,"(5/2,7/2)",1,56169.6,0.6,FALSE
4d.5f,"(5/2,7/2)",3,56211.9,0.2,FALSE
4d.8p,2[3/2],1,56408.2,0.6,FALSE
4d.8p,2[1/2],1,56610.1,0.6,FALSE
4d.8p,2[5/2],3,56721.0,0.2,FALSE
4d.8p,2[3/2],1,56940.5,1.8,FALSE
4d.6f,"(3/2,5/2)",1,57235.5,0.7,FALSE
4d.6f,"(3/2,5/2)",3,57269.8,0.2,FALSE
4d.6f,"(3/2,7/2)",3,57364.1,0.2,FALSE
4d.6f,"(5/2,5/2)",1,57477.1,0.7,FALSE
4d.6f,"(5/2,5/2)",3,57535.3,0.2,FALSE
4d.6f,"(5/2,7/2)",1,57569.5,0.7,FALSE
4d.6f,"(5/2,7/2)",3,57591.9,0.2,FALSE
4d.9p,"(3/2,3/2)",1,57646.7,0.7,FALSE
4d.9p,"(3/2,1/2)",1,57743.2,0.7,FALSE
4d.9p,"(5/2,1/2)",3,57845.9,0.2,FALSE
4d.9p,"(5/2,3/2)",3,57917.0,0.2,FALSE
4d.9p,"(5/2,3/2)",1,58081.8,1.3,FALSE
4d.7f,"(3/2,5/2)",1,58021.5,0.7,FALSE
4d.7f,"(3/2,5/2)",3,58106.7,0.2,FALSE
4d.7f,"(3/2,7/2)",3,58198.9,0.2,FALSE
4d.7f,"(5/2,5/2)",1,58287.0,0.7,FALSE
4d.7f,"(5/2,5/2)",3,58379.9,0.2,FALSE
4d.10p,2[1/2],1,58396.2,0.7,FALSE
4d.7f,"(5/2,7/2)",1,58422.3,0.7,FALSE
4d.7f,"(5/2,7/2)",3,58444.5,0.2,FALSE
4d.10p,2[3/2],1,58459.8,0.7,FALSE
4d.8f,2[3/2],1,58618.3,0.7,FALSE
4d.10p,2[7/2],3,58646.9,0.2,FALSE
4d.10p,2[3/2],1,58713.2,0.7,FALSE
4d.8f,2[5/2],3,58740.3,0.2,FALSE
4d.8f,2[1/2],1,58926.5,0.7,FALSE
4d.8f,2[3/2],1,58970.7,0.7,FALSE
4d.9f,2[3/2],1,59032.9,0.7,FALSE
4d.9f,2[7/2],3,59105.6,0.2,FALSE
4d.9f,2[1/2],1,59238.5,0.7,FALSE
4d.10f,2[3/2],1,59360.5,0.7,FALSE
4d.9f,2[3/2],1,59360.5,0.7,FALSE
4d.10f,2[3/2],1,59661.2,0.7,FALSE
