n, conf, , term, E_n (a.u.), DEL (cm^-1), S, L, , gf, conf%, conf2, , conf2% 
1,4s2,1S0,0.66324847,0,0,0,0,-----,91.5%

2,4s.3d,3D1,0.57115838,20211.4,1,2,1,0.5,93.4%

3,4s.3d,3D2,0.57106557,20231.8,1,2,2,1.167,93.4%

4,4s.3d,3D3,0.57092361,20263,1,2,3,1.333,93.4%

5,4s.3d,1D2,0.56375007,21837.4,0,2,2,1,82.0%

6,4s.5s,3S1,0.51871881,31720.6,1,0,1,2,86.4%

7,4s.5s,1S0,0.51066398,33488.4,0,0,0,-----,72.1%

8,4s.4d,1D2,0.4926102,37450.8,0,2,2,1,60.3%,4s.5d,21.0%

9,4s.4d,3D1,0.49048029,37918.2,1,2,1,0.5,63.4%,4s.5d,32.2%

0.1,4s.4d,3D2,0.49045998,37922.7,1,2,2,1.167,63.3%,4s.5d,32.2%

0.11,4s.4d,3D3,0.49042951,37929.4,1,2,3,1.333,63.3%,4s.5d,32.3%

0.12,4p2,3P0,0.48743582,38586.4,1,1,0,-----,71.3%

0.13,4p2,3P1,0.48721123,38635.7,1,1,1,1.5,71.1%

0.14,4p2,3P2,0.48680332,38725.2,1,1,2,1.5,70.8%

0.15,4s.6s,3S1,0.47799702,40658,1,0,1,2,53.2%,4s.7s,40.5%

0.16,4p2,1D2,0.4774567,40776.6,0,2,2,1,33.3%,3d2,26.2%

0.17,4s.6s,1S0,0.4771263,40849.1,0,0,0,-----,31.2%,4s.7s,29.7%

0.18,4s.7s,1S0,0.47226604,41915.8,0,0,0,-----,27.7%,4p2,25.5%

0.19,4s.6d,3D1,0.46769097,42919.9,1,2,1,0.5,62.3%,4s.5d,19.4%

0.2,4s.6d,3D2,0.46768138,42922,1,2,2,1.167,62.3%,4s.5d,19.3%

0.21,4s.6d,3D3,0.46766639,42925.3,1,2,3,1.333,62.4%,4s.5d,19.3%

0.22,4s.6d,1D2,0.46707798,43054.4,0,2,2,1,56.2%,4s.5d,12.4%

0.23,3d2,3F2,0.46629467,43226.4,1,3,2,0.667,71.1%

0.24,3d2,3F3,0.46619749,43247.7,1,3,3,1.083,71.2%

0.25,3d2,3F4,0.46607231,43275.2,1,3,4,1.25,71.2%

0.26,4s.8s,3S1,0.46183999,44204.1,1,0,1,2,66.5%,4s.7s,16.4%

0.27,4s.8s,1S0,0.46037504,44525.6,0,0,0,-----,73.5%

0.28,4s.6g,1G4,0.45790939,45066.7,0.19,4,4,1.006,57.3%,4s.5g,30.8%

0.29,4s.6g,3G3,0.45790676,45067.3,1,4,3,0.75,57.4%,4s.5g,30.8%

0.3,4s.6g,3G4,0.45790657,45067.3,0.92,4,4,1.044,57.4%,4s.5g,30.8%

0.31,4s.6g,3G5,0.45790636,45067.4,1,4,5,1.2,57.4%,4s.5g,30.8%

0.32,4s.7d,1D2,0.45704085,45257.3,0,2,2,1,61.4%,4s.5d,12.1%

0.33,4s.7d,3D1,0.45652879,45369.7,1,2,1,0.5,68.1%,4s.5d,12.0%

0.34,4s.7d,3D2,0.45651748,45372.2,1,2,2,1.167,68.1%,4s.5d,12.0%

0.35,4s.7d,3D3,0.4565014,45375.7,1,2,3,1.333,68.2%,4s.5d,12.0%

0.36,3d2,1G4,0.45574587,45541.6,0,4,4,1,57.1%,3d.4d,38.7%

0.37,4s.9s,3S1,0.45056191,46679.3,1,0,1,2,69.8%,4s.7s,15.7%

0.38,4s.7g,3G3,0.44977086,46852.9,1,4,3,0.75,61.6%,4s.5g,24.7%

0.39,4s.7g,1G4,0.44977062,46853,0.36,4,4,1.012,61.6%,4s.5g,24.7%

0.4,4s.7g,3G5,0.44977024,46853.1,1,4,5,1.2,61.6%,4s.5g,24.7%

0.41,4s.7g,3G4,0.44976765,46853.6,0.82,4,4,1.038,61.6%,4s.5g,24.7%

0.42,4s.9s,1S0,0.44913556,46992.4,0,0,0,-----,73.8%

0.43,4s.8d,1D2,0.44892691,47038.1,0.01,2,2,1.001,36.2%,3d.5s,22.8%

0.44,3d.5s,3D1,0.44808959,47221.9,1,2,1,0.5,43.9%,4s.8d,24.7%

0.45,3d.5s,3D2,0.44799731,47242.2,1,2,2,1.166,43.1%,4s.8d,25.6%

0.46,3d.5s,3D3,0.44786893,47270.3,1,2,3,1.333,42.3%,4s.8d,26.6%

0.47,4s.8d,3D1,0.44339283,48252.7,1,2,1,0.5,45.7%,3d.5s,17.5%

0.48,4s.8d,3D2,0.44335177,48261.7,1,2,2,1.166,45.0%,3d.5s,18.1%

0.49,4s.8d,3D3,0.44327439,48278.7,1,2,3,1.333,43.7%,3d.5s,19.3%

0.5,3d.5s,1D2,0.44225188,48503.1,0.01,2,2,1.001,28.1%,4s.8d,26.3%

