  Config   Term   J   Level (cm⁻¹) Uncertainty (cm-1) Final Config   Config1   Config2   Term   J   Level (cm⁻¹)   Uncertainty (cm⁻¹)   Level (au)      ΔE     ΔE%
  5s2.5p     2P 0.5              0                          5s2.5p    5s2.5p         -     2P 0.5            0.0                        1.93989309     0.0      0%
  5s2.5p     2P 1.5       2212.599              0.008       5s2.5p    5s2.5p         -     2P 1.5         2199.1                        1.92987316    13.5   0.61%
  5s2.6p     2P 0.5      31816.982              0.005       5s2.6p    5s2.7p    5s2.6p     2P 0.5        32321.9                        1.79262388   504.9   1.59%
  5s2.6p     2P 1.5      32115.251              0.005       5s2.6p    5s2.7p    5s2.6p     2P 1.5        32615.6                        1.79128545   500.3   1.56%
  5s2.7p     2P 0.5       38861.43               0.03       5s2.7p    5s2.8p    5s2.9p     2P 0.5        39356.5                        1.76057186   495.1   1.27%
  5s2.7p     2P 1.5        38972.9               0.03       5s2.7p    5s2.8p    5s2.9p     2P 1.5        39466.5                        1.76007064   493.6   1.27%
  5s2.4f     2F 3.5       39707.59               0.03       5s2.4f    5s2.6f    5s2.5f     2F 3.5        40194.9                        1.75675174   487.3   1.23%
  5s2.4f     2F 2.5       39707.59               0.03       5s2.4f    5s2.5f    5s2.6f     2F 2.5        40194.9                        1.75675151   487.3   1.23%
  5s2.8p     2P 0.5        41827.1               0.22       5s2.8p   5s2.10p   5s2.11p     2P 0.5        42333.2                        1.74700882   506.1   1.21%
  5s2.8p     2P 1.5       41881.44               0.22       5s2.8p   5s2.10p   5s2.11p     2P 1.5        42289.6                        1.74720754   408.2   0.97%
  5s2.5f     2F 2.5       42220.25               0.04       5s2.5f    5s2.8f    5s2.7f     2F 2.5        42702.4                        1.74532665   482.2   1.14%
  5s2.5f     2F 3.5              -                  -       5s2.5f    5s2.8f    5s2.7f     2F 3.5        42702.6                        1.74532566       -       -
  5s2.9p     2P 0.5       43369.09               0.22       5s2.9p   5s2.11p   5s2.12p     2P 0.5        44340.8                         1.7378616   971.7   2.24%
  5s2.9p     2P 1.5       43399.53               0.22       5s2.9p   5s2.11p    5s2.9p     2P 1.5        43957.9                        1.73960621   558.4   1.29%
  5s2.6f     2F 2.5       43584.66               0.03       5s2.6f    5s2.9f    5s2.7f     2F 2.5        44461.9                        1.73730979   877.2   2.01%
 5s2.10p     2P 0.5       44275.17               0.22      5s2.10p   5s2.12p    5s2.9p     2P 0.5        46787.4                        1.72671417  2512.2   5.67%
 5s2.10p     2P 1.5       44294.13               0.22      5s2.10p   5s2.12p    5s2.9p     2P 1.5        47233.9                        1.72467941  2939.8   6.64%
  5s2.7f     2F 2.5       44406.31               0.03       5s2.7f   5s2.10f    5s2.8f     2F 2.5        46932.0                        1.72605524  2525.7   5.69%
  5s2.7f     2F 3.5       44406.31               0.03       5s2.7f   5s2.10f    5s2.8f     2F 3.5        46931.1                        1.72605938  2524.8   5.69%
  5s2.6f     2F 3.5              -                  -       5s2.6f    5s2.9f    5s2.7f     2F 3.5        44462.4                        1.73730731       -       -
 5s2.11p     2P 0.5       44853.23               0.22      5s2.11p   5s2.13p   5s2.10p     2P 0.5        50530.6                        1.70965877  5677.4  12.66%
 5s2.11p     2P 1.5       44865.79               0.22      5s2.11p   5s2.13p   5s2.10p     2P 1.5        51355.7                        1.70589933  6489.9  14.47%
  5s2.8f     2F 2.5       44938.81               0.06       5s2.8f   5s2.11f   5s2.10f     2F 2.5        49803.3                        1.71297247  4864.5  10.82%
  5s2.8f     2F 3.5       44938.81               0.06       5s2.8f   5s2.11f   5s2.10f     2F 3.5        49802.8                        1.71297497  4864.0  10.82%
  5s2.9f     2F 3.5       45303.31               0.22       5s2.9f   5s2.11f   5s2.12f     2F 3.5        53559.3                         1.6958591  8256.0  18.22%
  5s2.9f     2F 2.5       45303.39               0.22       5s2.9f   5s2.11f   5s2.12f     2F 2.5        53558.8                        1.69586116  8255.4  18.22%
 5s2.10f     2F 3.5       45563.89               0.22      5s2.10f   5s2.12f    5s2.4f     2F 3.5        58118.3                        1.67508675 12554.4  27.55%
 5s2.10f     2F 2.5       45564.04               0.22      5s2.10f   5s2.12f    5s2.4f     2F 2.5        58120.2                        1.67507788 12556.2  27.56%
 5s2.11f     2F 2.5        45756.5               0.22      5s2.11f   5s2.11f    5s2.4f     2F 2.5        65406.6                        1.64187883 19650.1  42.94%
 5s2.11f     2F 3.5       45756.56               0.22      5s2.11f   5s2.11f    5s2.4f     2F 3.5        65402.5                        1.64189725 19645.9  42.94%
 5s2.12f     2F 3.5       45902.92               0.22            -         -         -      -   -              -                    -            -       -       -
