n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 4d,3D1,1.000,2.000,1.000,0.53360755,0.00,0.50000,94.38849,True,,
2,5s 4d,3D2,0.998,2.000,2.000,0.53332056,62.99,1.16628,94.33468,True,,
3,5s 4d,3D3,1.000,2.000,3.000,0.53284867,166.55,1.33331,94.29856,True,,
4,5s 4d,1D2,0.005,2.000,2.000,0.52389445,2131.78,1.00039,81.69660,True,,
5,5s 6s,3S1,1.000,0.000,1.000,0.48389196,10911.31,1.99997,87.07958,True,,
6,5s 5d,1D2,0.008,1.998,2.000,0.45778148,16641.90,1.00142,57.87126,True,5s 6d,23.84870
7,5s 5d,3D1,1.000,1.999,1.000,0.45662477,16895.77,0.50090,62.82721,True,5s 6d,32.95494
8,5s 5d,3D2,0.999,1.999,2.000,0.45655552,16910.97,1.16669,62.65985,True,5s 6d,33.06413
9,5s 5d,3D3,1.000,2.000,3.000,0.45645178,16933.73,1.33332,62.56005,True,5s 6d,33.34028
10,5p2,3P1,1.000,1.001,1.000,0.45416595,17435.42,1.49919,62.53172,True,4d2,27.56573
11,5p2,3P2,0.986,1.028,2.000,0.45291557,17709.84,1.48942,60.29834,True,4d2,28.60036
12,4d2,1D2,0.040,1.989,2.000,0.44726901,18949.12,1.00806,41.39269,True,5p2,29.67656
13,5s 7s,3S1,1.000,0.000,1.000,0.44568536,19296.69,1.99993,54.51579,True,5s 8s,39.17366
14,4d2,3F2,0.998,2.997,2.000,0.44230201,20039.25,0.66773,83.87692,True,,
15,4d2,3F3,1.000,3.000,3.000,0.44192522,20121.95,1.08331,84.02722,True,,
16,4d2,3F4,1.000,3.001,4.000,0.44140473,20236.18,1.24983,84.01719,True,,
17,5s 7d,3D1,1.000,2.000,1.000,0.43536260,21562.27,0.50001,63.35476,True,5s 6d,18.70184
18,5s 7d,3D2,0.981,2.000,2.000,0.43533802,21567.67,1.16185,63.36134,True,5s 6d,18.54080
19,5s 7d,3D3,1.000,2.000,3.000,0.43528439,21579.44,1.33333,63.61784,True,5s 6d,18.33575
20,5s 7d,1D2,0.055,2.000,2.000,0.43508660,21622.85,1.00482,61.39689,True,5s 6d,15.67504
21,5s 9s,3S1,1.000,0.000,1.000,0.43048108,22633.65,1.99999,65.76166,True,5s 8s,16.50801
22,4d2,1G4,0.016,4.000,4.000,0.42894029,22971.81,1.00051,71.64491,True,,
23,5s 6g,3G3,1.000,4.000,3.000,0.42708575,23378.83,0.75000,56.77236,True,5s 5g,28.87680
24,5s 6g,1G4,0.012,4.000,4.000,0.42708467,23379.07,1.00030,56.77655,True,5s 5g,28.85860
