n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 5p,3P0,1.000,1.000,0.000,0.55068371,0.00,,95.57695,True,,
2,5s 5p,3P1,0.999,1.000,1.000,0.54983927,185.33,1.49947,95.49843,True,,
3,5s 5p,3P2,1.000,1.000,2.000,0.54803568,581.17,1.49999,95.39369,True,,
4,5s 5p,1P1,0.002,1.000,1.000,0.51754589,7272.91,1.00052,76.27051,True,,
5,5p 4d,3F2,0.862,2.824,2.000,0.46381246,19066.03,0.73395,91.35280,True,,
6,5p 4d,3F3,1.000,2.999,3.000,0.46223131,19413.06,1.08357,90.77179,True,,
7,5s 6p,3P0,1.000,1.000,0.000,0.46187444,19491.38,,71.60126,True,,
8,5s 6p,3P1,0.943,1.000,1.000,0.46180088,19507.53,1.45782,70.85196,True,,
9,5p 4d,2D2,0.586,1.923,2.000,0.46161850,19547.55,1.10906,65.54254,True,5s 6p,22.08945
10,5s 6p,3P2,0.812,1.455,2.000,0.46126661,19624.78,1.32502,49.02688,True,5p 4d,31.61120
11,5s 6p,1P1,0.148,1.001,1.000,0.46072131,19744.46,1.04179,64.11015,True,5s 7p,22.33572
12,5p 4d,3F4,1.000,3.000,4.000,0.46071337,19746.21,1.25000,90.59324,True,,
