n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s2,1S0,5s 4d,3D1,M1,-0.00004,-0.61692578,-0.53360755,18286.24,546.86,8.4523E-08
1,2,5s2,1S0,5s 4d,3D2,E2,-1.10299,-0.61692578,-0.53332056,18349.22,544.98,5.6684E-02
1,3,5s2,1S0,5s 4d,3D3,M3,125.55761,-0.61692578,-0.53284867,18452.79,541.92,6.8680E-11
1,4,5s2,1S0,5s 4d,1D2,E2,26.57225,-0.61692578,-0.52389445,20418.02,489.76,5.6125E+01
1,5,5s2,1S0,5s 6s,3S1,M1,0.00012,-0.61692578,-0.48389196,29197.55,342.49,3.1909E-06
1,6,5s2,1S0,5s 5d,1D2,E2,17.29436,-0.61692578,-0.45778148,34928.14,286.30,3.4827E+02
1,7,5s2,1S0,5s 5d,3D1,M1,0.00015,-0.61692578,-0.45662477,35182.01,284.24,9.0560E-06
1,8,5s2,1S0,5s 5d,3D2,E2,0.48063,-0.61692578,-0.45655552,35197.20,284.11,2.7951E-01
1,9,5s2,1S0,5s 5d,3D3,M3,79.55987,-0.61692578,-0.45645178,35219.97,283.93,2.5446E-09
1,10,5s2,1S0,5p2,3P1,M1,-0.00570,-0.61692578,-0.45416595,35721.65,279.94,1.3331E-02
1,11,5s2,1S0,5p2,3P2,E2,1.23118,-0.61692578,-0.45291557,35996.08,277.81,2.0518E+00
1,12,5s2,1S0,4d2,1D2,E2,1.04733,-0.61692578,-0.44726901,37235.36,268.56,1.7586E+00
1,13,5s2,1S0,5s 7s,3S1,M1,0.00001,-0.61692578,-0.44568536,37582.93,266.08,1.4021E-08
1,14,5s2,1S0,4d2,3F2,E2,-0.11517,-0.61692578,-0.44230201,38325.49,260.92,2.4566E-02
1,15,5s2,1S0,4d2,3F3,M3,-0.00166,-0.61692578,-0.44192522,38408.18,260.36,2.0287E-18
1,17,5s2,1S0,5s 7d,3D1,M1,0.00002,-0.61692578,-0.43536260,39848.51,250.95,3.4737E-07
1,18,5s2,1S0,5s 7d,3D2,E2,1.56254,-0.61692578,-0.43533802,39853.91,250.92,5.4985E+00
1,19,5s2,1S0,5s 7d,3D3,M3,-42.79163,-0.61692578,-0.43528439,39865.68,250.84,1.7524E-09
1,20,5s2,1S0,5s 7d,1D2,E2,-8.68555,-0.61692578,-0.43508660,39909.09,250.57,1.7107E+02
1,21,5s2,1S0,5s 9s,3S1,M1,-0.00003,-0.61692578,-0.43048108,40919.88,244.38,6.0298E-07
1,23,5s2,1S0,5s 6g,3G3,M3,0.03651,-0.61692578,-0.42708575,41665.07,240.01,1.7378E-15
2,1,5s 4d,3D1,5s 4d,3D1,E2,9.25531,-0.53360755,-0.53360755,-0.00,722021029997.87,1.6297E-45
2,1,5s 4d,3D1,5s 4d,3D1,M1,1.22474,-0.53360755,-0.53360755,-0.00,722021029997.87,3.5830E-26
2,2,5s 4d,3D1,5s 4d,3D2,E2,-11.96376,-0.53360755,-0.53332056,62.99,158763.28,3.1784E-12
2,2,5s 4d,3D1,5s 4d,3D2,M1,2.11909,-0.53360755,-0.53332056,62.99,158763.28,6.0536E-06
2,2,5s 4d,3D1,5s 4d,3D2,M3,-7.62895,-0.53360755,-0.53332056,62.99,158763.28,1.9165E-30
2,3,5s 4d,3D1,5s 4d,3D3,E2,-4.06408,-0.53360755,-0.53284867,166.55,60040.48,3.3869E-11
2,3,5s 4d,3D1,5s 4d,3D3,M3,9.13215,-0.53360755,-0.53284867,166.55,60040.48,1.7732E-27
2,4,5s 4d,3D1,5s 4d,1D2,E2,-0.57339,-0.53360755,-0.52389445,2131.78,4690.92,3.2422E-07
2,4,5s 4d,3D1,5s 4d,1D2,M1,0.09496,-0.53360755,-0.52389445,2131.78,4690.92,4.7125E-04
2,4,5s 4d,3D1,5s 4d,1D2,M3,18.58516,-0.53360755,-0.52389445,2131.78,4690.92,5.7859E-19
2,5,5s 4d,3D1,5s 6s,3S1,E2,-14.46469,-0.53360755,-0.48389196,10911.31,916.48,1.2080E+00
2,5,5s 4d,3D1,5s 6s,3S1,M1,0.00000,-0.53360755,-0.48389196,10911.31,916.48,8.4134E-12
2,6,5s 4d,3D1,5s 5d,1D2,E2,0.71895,-0.53360755,-0.45778148,16641.90,600.89,1.4779E-02
2,6,5s 4d,3D1,5s 5d,1D2,M1,-0.00540,-0.53360755,-0.45778148,16641.90,600.89,7.2485E-04
2,6,5s 4d,3D1,5s 5d,1D2,M3,7.32952,-0.53360755,-0.45778148,16641.90,600.89,1.5900E-13
2,7,5s 4d,3D1,5s 5d,3D1,E2,-9.22176,-0.53360755,-0.45662477,16895.77,591.86,4.3711E+00
2,7,5s 4d,3D1,5s 5d,3D1,M1,0.00001,-0.53360755,-0.45662477,16895.77,591.86,4.0909E-09
2,8,5s 4d,3D1,5s 5d,3D2,E2,-12.08831,-0.53360755,-0.45655552,16910.97,591.33,4.5269E+00
2,8,5s 4d,3D1,5s 5d,3D2,M1,-0.00410,-0.53360755,-0.45655552,16910.97,591.33,4.3839E-04
2,8,5s 4d,3D1,5s 5d,3D2,M3,-6.15166,-0.53360755,-0.45655552,16910.97,591.33,1.2531E-13
2,9,5s 4d,3D1,5s 5d,3D3,E2,-4.13379,-0.53360755,-0.45645178,16933.73,590.54,3.8068E-01
2,9,5s 4d,3D1,5s 5d,3D3,M3,9.87182,-0.53360755,-0.45645178,16933.73,590.54,2.3269E-13
2,10,5s 4d,3D1,5p2,3P1,E2,-11.45934,-0.53360755,-0.45416595,17435.42,573.55,7.8987E+00
2,10,5s 4d,3D1,5p2,3P1,M1,-0.00121,-0.53360755,-0.45416595,17435.42,573.55,6.9586E-05
2,11,5s 4d,3D1,5p2,3P2,E2,-6.75114,-0.53360755,-0.45291557,17709.84,564.66,1.7785E+00
2,11,5s 4d,3D1,5p2,3P2,M1,-0.00091,-0.53360755,-0.45291557,17709.84,564.66,2.4774E-05
2,11,5s 4d,3D1,5p2,3P2,M3,24.00890,-0.53360755,-0.45291557,17709.84,564.66,2.6369E-12
2,12,5s 4d,3D1,4d2,1D2,E2,1.95844,-0.53360755,-0.44726901,18949.12,527.73,2.0989E-01
2,12,5s 4d,3D1,4d2,1D2,M1,0.00026,-0.53360755,-0.44726901,18949.12,527.73,2.3899E-06
2,12,5s 4d,3D1,4d2,1D2,M3,17.21325,-0.53360755,-0.44726901,18949.12,527.73,2.1762E-12
2,13,5s 4d,3D1,5s 7s,3S1,E2,-2.16983,-0.53360755,-0.44568536,19296.69,518.22,4.7027E-01
2,13,5s 4d,3D1,5s 7s,3S1,M1,-0.00002,-0.53360755,-0.44568536,19296.69,518.22,3.4504E-08
2,14,5s 4d,3D1,4d2,3F2,E2,-22.43803,-0.53360755,-0.44230201,20039.25,499.02,3.6442E+01
2,14,5s 4d,3D1,4d2,3F2,M1,0.00079,-0.53360755,-0.44230201,20039.25,499.02,2.6928E-05
2,14,5s 4d,3D1,4d2,3F2,M3,25.21948,-0.53360755,-0.44230201,20039.25,499.02,6.9101E-12
2,15,5s 4d,3D1,4d2,3F3,E2,15.98769,-0.53360755,-0.44192522,20121.95,496.97,1.3490E+01
2,15,5s 4d,3D1,4d2,3F3,M3,-90.42999,-0.53360755,-0.44192522,20121.95,496.97,6.5317E-11
2,16,5s 4d,3D1,4d2,3F4,M3,64.45976,-0.53360755,-0.44140473,20236.18,494.16,2.6856E-11
2,17,5s 4d,3D1,5s 7d,3D1,E2,3.65461,-0.53360755,-0.43536260,21562.27,463.77,2.3240E+00
2,17,5s 4d,3D1,5s 7d,3D1,M1,0.00001,-0.53360755,-0.43536260,21562.27,463.77,1.2267E-08
2,18,5s 4d,3D1,5s 7d,3D2,E2,4.58325,-0.53360755,-0.43533802,21567.67,463.66,2.1958E+00
2,18,5s 4d,3D1,5s 7d,3D2,M1,0.00160,-0.53360755,-0.43533802,21567.67,463.66,1.3916E-04
2,18,5s 4d,3D1,5s 7d,3D2,M3,3.17479,-0.53360755,-0.43533802,21567.67,463.66,1.8319E-13
2,19,5s 4d,3D1,5s 7d,3D3,E2,1.56419,-0.53360755,-0.43528439,21579.44,463.40,1.8318E-01
2,19,5s 4d,3D1,5s 7d,3D3,M3,-3.98326,-0.53360755,-0.43528439,21579.44,463.40,2.0676E-13
2,20,5s 4d,3D1,5s 7d,1D2,E2,0.96103,-0.53360755,-0.43508660,21622.85,462.47,9.7785E-02
2,20,5s 4d,3D1,5s 7d,1D2,M1,0.00289,-0.53360755,-0.43508660,21622.85,462.47,4.5550E-04
2,20,5s 4d,3D1,5s 7d,1D2,M3,-9.71944,-0.53360755,-0.43508660,21622.85,462.47,1.7479E-12
2,21,5s 4d,3D1,5s 9s,3S1,E2,1.05408,-0.53360755,-0.43048108,22633.65,441.82,2.4638E-01
2,21,5s 4d,3D1,5s 9s,3S1,M1,0.00000,-0.53360755,-0.43048108,22633.65,441.82,6.7193E-10
2,22,5s 4d,3D1,4d2,1G4,M3,-132.86855,-0.53360755,-0.42894029,22971.81,435.32,2.7719E-10
2,23,5s 4d,3D1,5s 6g,3G3,E2,-6.10096,-0.53360755,-0.42708575,23378.83,427.74,4.1592E+00
2,23,5s 4d,3D1,5s 6g,3G3,M3,-9.99779,-0.53360755,-0.42708575,23378.83,427.74,2.2818E-12
2,24,5s 4d,3D1,5s 6g,1G4,M3,-15.58033,-0.53360755,-0.42708467,23379.07,427.73,4.3103E-12
3,1,5s 4d,3D2,5s 4d,3D1,E2,-11.96375,-0.53332056,-0.53360755,-62.99,158763.21,3.1784E-12
3,1,5s 4d,3D2,5s 4d,3D1,M1,2.11909,-0.53332056,-0.53360755,-62.99,158763.21,6.0536E-06
3,1,5s 4d,3D2,5s 4d,3D1,M3,-7.62961,-0.53332056,-0.53360755,-62.99,158763.21,1.9169E-30
3,2,5s 4d,3D2,5s 4d,3D2,E2,-10.18982,-0.53332056,-0.53332056,-0.00,682044076282.99,1.5758E-45
3,2,5s 4d,3D2,5s 4d,3D2,M1,-6.38800,-0.53332056,-0.53332056,-0.00,682044076282.99,6.9384E-25
3,2,5s 4d,3D2,5s 4d,3D2,M3,-57.59126,-0.53332056,-0.53332056,-0.00,682044076282.99,4.0445E-75
3,3,5s 4d,3D2,5s 4d,3D3,E2,-12.88996,-0.53332056,-0.53284867,103.57,96555.45,3.1675E-11
3,3,5s 4d,3D2,5s 4d,3D3,M1,2.15801,-0.53332056,-0.53284867,103.57,96555.45,1.9935E-05
3,3,5s 4d,3D2,5s 4d,3D3,M3,-44.99567,-0.53332056,-0.53284867,103.57,96555.45,1.5474E-27
3,4,5s 4d,3D2,5s 4d,1D2,E2,0.26565,-0.53332056,-0.52389445,2068.79,4833.74,5.9900E-08
3,4,5s 4d,3D2,5s 4d,1D2,M1,-0.04075,-0.53332056,-0.52389445,2068.79,4833.74,7.9311E-05
3,4,5s 4d,3D2,5s 4d,1D2,M3,-60.35654,-0.53332056,-0.52389445,2068.79,4833.74,4.9466E-18
3,5,5s 4d,3D2,5s 6s,3S1,E2,-18.83707,-0.53332056,-0.48389196,10848.32,921.80,1.9903E+00
3,5,5s 4d,3D2,5s 6s,3S1,M1,-0.00003,-0.53332056,-0.48389196,10848.32,921.80,1.1616E-08
3,5,5s 4d,3D2,5s 6s,3S1,M3,-66.55252,-0.53332056,-0.48389196,10848.32,921.80,1.0928E-12
3,6,5s 4d,3D2,5s 5d,1D2,E2,2.45359,-0.53332056,-0.45778148,16578.91,603.18,1.6889E-01
3,6,5s 4d,3D2,5s 5d,1D2,M1,0.00241,-0.53332056,-0.45778148,16578.91,603.18,1.4289E-04
3,6,5s 4d,3D2,5s 5d,1D2,M3,-19.22874,-0.53332056,-0.45778148,16578.91,603.18,1.0657E-12
3,7,5s 4d,3D2,5s 5d,3D1,E2,12.53477,-0.53332056,-0.45662477,16832.78,594.08,7.9266E+00
3,7,5s 4d,3D2,5s 5d,3D1,M1,-0.00359,-0.53332056,-0.45662477,16832.78,594.08,5.5148E-04
3,7,5s 4d,3D2,5s 5d,3D1,M3,7.76879,-0.53332056,-0.45662477,16832.78,594.08,3.2247E-13
3,8,5s 4d,3D2,5s 5d,3D2,E2,-9.98425,-0.53332056,-0.45655552,16847.98,593.54,3.0311E+00
3,8,5s 4d,3D2,5s 5d,3D2,M1,0.00019,-0.53332056,-0.45655552,16847.98,593.54,8.8997E-07
3,8,5s 4d,3D2,5s 5d,3D2,M3,-59.14080,-0.53332056,-0.45655552,16847.98,593.54,1.1284E-11
3,9,5s 4d,3D2,5s 5d,3D3,E2,-13.15182,-0.53332056,-0.45645178,16870.75,592.74,3.7822E+00
3,9,5s 4d,3D2,5s 5d,3D3,M1,-0.00623,-0.53332056,-0.45645178,16870.75,592.74,7.1880E-04
3,9,5s 4d,3D2,5s 5d,3D3,M3,-43.92112,-0.53332056,-0.45645178,16870.75,592.74,4.4874E-12
3,10,5s 4d,3D2,5p2,3P1,E2,-4.51775,-0.53332056,-0.45416595,17372.43,575.62,1.2057E+00
3,10,5s 4d,3D2,5p2,3P1,M1,-0.00051,-0.53332056,-0.45416595,17372.43,575.62,1.2277E-05
3,10,5s 4d,3D2,5p2,3P1,M3,-54.55868,-0.53332056,-0.45416595,17372.43,575.62,1.9835E-11
3,11,5s 4d,3D2,5p2,3P2,E2,-13.08807,-0.53332056,-0.45291557,17646.86,566.67,6.5662E+00
3,11,5s 4d,3D2,5p2,3P2,M1,-0.00173,-0.53332056,-0.45291557,17646.86,566.67,8.8839E-05
