n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s2,1S0,5s 5p,3P1,E1_L,0.15456,-0.61692578,-0.54983927,14723.79,679.17,5.1502E+04
1,1,5s2,1S0,5s 5p,3P1,E1_V,0.17641,-0.61692578,-0.54983927,14723.79,679.17,6.7087E+04
1,2,5s2,1S0,5s 5p,3P2,M2,22.52911,-0.61692578,-0.54803568,15119.63,661.39,1.1959E-04
1,3,5s2,1S0,5s 5p,1P1,E1_L,-5.27449,-0.61692578,-0.51754587,21811.37,458.48,1.9496E+08
1,3,5s2,1S0,5s 5p,1P1,E1_V,-5.52902,-0.61692578,-0.51754587,21811.37,458.48,2.1424E+08
1,4,5s2,1S0,5p 4d,3F2,M2,-0.46783,-0.61692578,-0.46381246,33604.49,297.58,2.7968E-06
1,5,5s2,1S0,5p 4d,3F3,E3,2.05580,-0.61692578,-0.46223131,33951.51,294.54,9.8723E-08
1,6,5s2,1S0,5s 6p,3P1,E1_L,-0.03425,-0.61692578,-0.46180088,34045.98,293.72,3.1272E+04
1,6,5s2,1S0,5s 6p,3P1,E1_V,-0.07191,-0.61692578,-0.46180088,34045.98,293.72,1.3782E+05
1,7,5s2,1S0,5p 4d,2D2,M2,0.38720,-0.61692578,-0.46161850,34086.01,293.38,2.0571E-06
1,8,5s2,1S0,5s 6p,3P2,M2,1.06734,-0.61692578,-0.46126661,34163.24,292.71,1.5809E-05
1,9,5s2,1S0,5s 6p,1P1,E1_L,0.28126,-0.61692578,-0.46072131,34282.92,291.69,2.1528E+06
1,9,5s2,1S0,5s 6p,1P1,E1_V,0.39985,-0.61692578,-0.46072131,34282.92,291.69,4.3508E+06
1,11,5s2,1S0,5p 4d,3D1,E1_L,0.05920,-0.61692578,-0.45059879,36504.56,273.94,1.1515E+05
1,11,5s2,1S0,5p 4d,3D1,E1_V,0.06815,-0.61692578,-0.45059879,36504.56,273.94,1.5260E+05
1,12,5s2,1S0,5p 4d,3D2,M2,0.10580,-0.61692578,-0.45005170,36624.63,273.04,2.1995E-07
2,1,5s 4d,3D1,5s 5p,3P1,E1_L,2.35432,-0.53360755,-0.54983927,-3562.45,2807.06,1.6925E+05
2,1,5s 4d,3D1,5s 5p,3P1,E1_V,2.29841,-0.53360755,-0.54983927,-3562.45,2807.06,1.6130E+05
2,1,5s 4d,3D1,5s 5p,3P1,M2,-3.09259,-0.53360755,-0.54983927,-3562.45,2807.06,2.7273E-09
2,2,5s 4d,3D1,5s 5p,3P2,E1_L,0.61132,-0.53360755,-0.54803568,-3166.61,3157.95,8.0143E+03
2,2,5s 4d,3D1,5s 5p,3P2,E1_V,0.60541,-0.53360755,-0.54803568,-3166.61,3157.95,7.8601E+03
2,2,5s 4d,3D1,5s 5p,3P2,E3,140.72497,-0.53360755,-0.54803568,-3166.61,3157.95,6.6271E-11
2,2,5s 4d,3D1,5s 5p,3P2,M2,-0.47231,-0.53360755,-0.54803568,-3166.61,3157.95,3.5301E-11
2,3,5s 4d,3D1,5s 5p,1P1,E1_L,0.06257,-0.53360755,-0.51754587,3525.13,2836.77,1.1583E+02
2,3,5s 4d,3D1,5s 5p,1P1,E1_V,0.05989,-0.53360755,-0.51754587,3525.13,2836.77,1.0613E+02
2,3,5s 4d,3D1,5s 5p,1P1,M2,2.14054,-0.53360755,-0.51754587,3525.13,2836.77,1.2396E-09
2,4,5s 4d,3D1,5p 4d,3F2,E1_L,4.02453,-0.53360755,-0.46381246,15318.25,652.82,2.3592E+07
2,4,5s 4d,3D1,5p 4d,3F2,E1_V,3.95296,-0.53360755,-0.46381246,15318.25,652.82,2.2760E+07
2,4,5s 4d,3D1,5p 4d,3F2,E3,-15.57456,-0.53360755,-0.46381246,15318.25,652.82,3.0190E-08
2,4,5s 4d,3D1,5p 4d,3F2,M2,3.18192,-0.53360755,-0.46381246,15318.25,652.82,2.5464E-06
2,5,5s 4d,3D1,5p 4d,3F3,E3,-19.46828,-0.53360755,-0.46223131,15665.27,638.35,3.9415E-08
2,5,5s 4d,3D1,5p 4d,3F3,M2,14.84549,-0.53360755,-0.46223131,15665.27,638.35,4.4284E-05
2,6,5s 4d,3D1,5s 6p,3P1,E1_L,0.81004,-0.53360755,-0.46180088,15759.74,634.53,1.7346E+06
