n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s 5p,3P0,5s 4d,3D1,E1_L,-2.71239,-0.55068371,-0.53360755,3747.78,2668.24,2.6156E+05
1,1,5s 5p,3P0,5s 4d,3D1,E1_V,-2.63335,-0.55068371,-0.53360755,3747.78,2668.24,2.4654E+05
1,2,5s 5p,3P0,5s 4d,3D2,M2,1.66638,-0.55068371,-0.53332056,3810.77,2624.14,6.6545E-10
1,3,5s 5p,3P0,5s 4d,3D3,E3,104.46154,-0.55068371,-0.53284867,3914.34,2554.71,6.9018E-11
1,4,5s 5p,3P0,5s 4d,1D2,M2,12.02868,-0.55068371,-0.52389445,5879.56,1700.81,3.0315E-07
1,5,5s 5p,3P0,5s 6s,3S1,E1_L,1.97166,-0.55068371,-0.48389196,14659.09,682.17,8.2705E+06
1,5,5s 5p,3P0,5s 6s,3S1,E1_V,1.94778,-0.55068371,-0.48389196,14659.09,682.17,8.0714E+06
1,6,5s 5p,3P0,5s 5d,1D2,M2,8.61428,-0.55068371,-0.45778148,20389.68,490.44,7.7981E-05
1,7,5s 5p,3P0,5s 5d,3D1,E1_L,2.46373,-0.55068371,-0.45662477,20643.55,484.41,3.6065E+07
1,7,5s 5p,3P0,5s 5d,3D1,E1_V,2.47382,-0.55068371,-0.45662477,20643.55,484.41,3.6361E+07
1,8,5s 5p,3P0,5s 5d,3D2,M2,2.76921,-0.55068371,-0.45655552,20658.75,484.06,8.6046E-06
1,9,5s 5p,3P0,5s 5d,3D3,E3,220.38699,-0.55068371,-0.45645178,20681.52,483.52,3.5309E-05
1,10,5s 5p,3P0,5p2,3P1,E1_L,-2.61537,-0.55068371,-0.45416595,21183.20,472.07,4.3912E+07
1,10,5s 5p,3P0,5p2,3P1,E1_V,-2.80624,-0.55068371,-0.45416595,21183.20,472.07,5.0556E+07
1,11,5s 5p,3P0,5p2,3P2,M2,-7.55050,-0.55068371,-0.45291557,21457.63,466.03,7.7332E-05
1,12,5s 5p,3P0,4d2,1D2,M2,-4.61978,-0.55068371,-0.44726901,22696.90,440.59,3.8333E-05
1,13,5s 5p,3P0,5s 7s,3S1,E1_L,0.51720,-0.55068371,-0.44568536,23044.47,433.94,2.2108E+06
1,13,5s 5p,3P0,5s 7s,3S1,E1_V,0.50142,-0.55068371,-0.44568536,23044.47,433.94,2.0780E+06
1,14,5s 5p,3P0,4d2,3F2,M2,-1.32406,-0.55068371,-0.44230201,23787.03,420.40,3.9812E-06
1,15,5s 5p,3P0,4d2,3F3,E3,14.74165,-0.55068371,-0.44192522,23869.73,418.94,4.3099E-07
1,17,5s 5p,3P0,5s 7d,3D1,E1_L,-1.16305,-0.55068371,-0.43536260,25310.06,395.10,1.4812E+07
1,17,5s 5p,3P0,5s 7d,3D1,E1_V,-1.16851,-0.55068371,-0.43536260,25310.06,395.10,1.4952E+07
1,18,5s 5p,3P0,5s 7d,3D2,M2,-0.66988,-0.55068371,-0.43533802,25315.45,395.02,1.3913E-06
1,19,5s 5p,3P0,5s 7d,3D3,E3,-60.40021,-0.55068371,-0.43528439,25327.22,394.83,1.0955E-05
1,20,5s 5p,3P0,5s 7d,1D2,M2,-2.11887,-0.55068371,-0.43508660,25370.63,394.16,1.4072E-05
1,21,5s 5p,3P0,5s 9s,3S1,E1_L,-0.29899,-0.55068371,-0.43048108,26381.43,379.05,1.1085E+06
1,21,5s 5p,3P0,5s 9s,3S1,E1_V,-0.29011,-0.55068371,-0.43048108,26381.43,379.05,1.0437E+06
1,23,5s 5p,3P0,5s 6g,3G3,E3,82.53396,-0.55068371,-0.42708575,27126.62,368.64,3.3073E-05
2,1,5s 5p,3P1,5s 4d,3D1,E1_L,2.35431,-0.54983927,-0.53360755,3562.45,2807.06,1.6925E+05
2,1,5s 5p,3P1,5s 4d,3D1,E1_V,2.29853,-0.54983927,-0.53360755,3562.45,2807.06,1.6132E+05
2,1,5s 5p,3P1,5s 4d,3D1,M2,-3.09260,-0.54983927,-0.53360755,3562.45,2807.06,2.7273E-09
2,2,5s 5p,3P1,5s 4d,3D2,E1_L,4.07464,-0.54983927,-0.53332056,3625.44,2758.29,3.2060E+05
2,2,5s 5p,3P1,5s 4d,3D2,E1_V,3.97463,-0.54983927,-0.53332056,3625.44,2758.29,3.0505E+05
2,2,5s 5p,3P1,5s 4d,3D2,E3,-103.85912,-0.54983927,-0.53332056,3625.44,2758.29,5.5845E-11
2,2,5s 5p,3P1,5s 4d,3D2,M2,-10.75243,-0.54983927,-0.53332056,3625.44,2758.29,2.1593E-08
2,3,5s 5p,3P1,5s 4d,3D3,E3,148.42649,-0.54983927,-0.53284867,3729.00,2681.68,9.9223E-11
2,3,5s 5p,3P1,5s 4d,3D3,M2,3.25647,-0.54983927,-0.53284867,3729.00,2681.68,1.6287E-09
2,4,5s 5p,3P1,5s 4d,1D2,E1_L,0.17738,-0.54983927,-0.52389445,5694.23,1756.16,2.3539E+03
2,4,5s 5p,3P1,5s 4d,1D2,E1_V,0.18541,-0.54983927,-0.52389445,5694.23,1756.16,2.5719E+03
2,4,5s 5p,3P1,5s 4d,1D2,E3,-10.26297,-0.54983927,-0.52389445,5694.23,1756.16,1.2858E-11
2,4,5s 5p,3P1,5s 4d,1D2,M2,-17.98890,-0.54983927,-0.52389445,5694.23,1756.16,5.7767E-07
2,5,5s 5p,3P1,5s 6s,3S1,E1_L,3.44097,-0.54983927,-0.48389196,14473.76,690.91,2.4247E+07
2,5,5s 5p,3P1,5s 6s,3S1,E1_V,3.39836,-0.54983927,-0.48389196,14473.76,690.91,2.3650E+07
2,5,5s 5p,3P1,5s 6s,3S1,M2,-7.36146,-0.54983927,-0.48389196,14473.76,690.91,1.7107E-05
2,6,5s 5p,3P1,5s 5d,1D2,E1_L,-0.04288,-0.54983927,-0.45778148,20204.35,494.94,6.1466E+03
2,6,5s 5p,3P1,5s 5d,1D2,E1_V,-0.03076,-0.54983927,-0.45778148,20204.35,494.94,3.1621E+03
2,6,5s 5p,3P1,5s 5d,1D2,E3,1.09682,-0.54983927,-0.45778148,20204.35,494.94,1.0398E-09
2,6,5s 5p,3P1,5s 5d,1D2,M2,-11.97821,-0.54983927,-0.45778148,20204.35,494.94,1.4405E-04
2,7,5s 5p,3P1,5s 5d,3D1,E1_L,-2.01944,-0.54983927,-0.45662477,20458.22,488.80,2.3584E+07
2,7,5s 5p,3P1,5s 5d,3D1,E1_V,-2.01666,-0.54983927,-0.45662477,20458.22,488.80,2.3519E+07
2,7,5s 5p,3P1,5s 5d,3D1,M2,1.68873,-0.54983927,-0.45662477,20458.22,488.80,5.0794E-06
2,8,5s 5p,3P1,5s 5d,3D2,E1_L,3.69386,-0.54983927,-0.45655552,20473.42,488.44,4.7449E+07
2,8,5s 5p,3P1,5s 5d,3D2,E1_V,3.70741,-0.54983927,-0.45655552,20473.42,488.44,4.7798E+07
2,8,5s 5p,3P1,5s 5d,3D2,E3,-224.21382,-0.54983927,-0.45655552,20473.42,488.44,4.7668E-05
2,8,5s 5p,3P1,5s 5d,3D2,M2,-9.96917,-0.54983927,-0.45655552,20473.42,488.44,1.0660E-04
2,9,5s 5p,3P1,5s 5d,3D3,E3,316.40878,-0.54983927,-0.45645178,20496.18,487.90,6.8336E-05
2,9,5s 5p,3P1,5s 5d,3D3,M2,2.87879,-0.54983927,-0.45645178,20496.18,487.90,6.3849E-06
2,10,5s 5p,3P1,5p2,3P1,E1_L,-2.37222,-0.54983927,-0.45416595,20997.87,476.24,3.5187E+07
2,10,5s 5p,3P1,5p2,3P1,E1_V,-2.53927,-0.54983927,-0.45416595,20997.87,476.24,4.0317E+07
2,10,5s 5p,3P1,5p2,3P1,M2,12.43682,-0.54983927,-0.45416595,20997.87,476.24,3.1379E-04
2,11,5s 5p,3P1,5p2,3P2,E1_L,-2.87712,-0.54983927,-0.45291557,21272.29,470.10,3.2289E+07
2,11,5s 5p,3P1,5p2,3P2,E1_V,-3.08561,-0.54983927,-0.45291557,21272.29,470.10,3.7138E+07
2,11,5s 5p,3P1,5p2,3P2,E3,-7.01261,-0.54983927,-0.45291557,21272.29,470.10,6.0958E-08
2,11,5s 5p,3P1,5p2,3P2,M2,-0.62120,-0.54983927,-0.45291557,21272.29,470.10,5.0122E-07
2,12,5s 5p,3P1,4d2,1D2,E1_L,0.22152,-0.54983927,-0.44726901,22511.57,444.22,2.2685E+05
2,12,5s 5p,3P1,4d2,1D2,E1_V,0.24223,-0.54983927,-0.44726901,22511.57,444.22,2.7126E+05
2,12,5s 5p,3P1,4d2,1D2,E3,-3.89444,-0.54983927,-0.44726901,22511.57,444.22,2.7945E-08
2,12,5s 5p,3P1,4d2,1D2,M2,8.38980,-0.54983927,-0.44726901,22511.57,444.22,1.2135E-04
2,13,5s 5p,3P1,5s 7s,3S1,E1_L,0.92297,-0.54983927,-0.44568536,22859.14,437.46,6.8722E+06
2,13,5s 5p,3P1,5s 7s,3S1,E1_V,0.89742,-0.54983927,-0.44568536,22859.14,437.46,6.4970E+06
2,13,5s 5p,3P1,5s 7s,3S1,M2,-1.85287,-0.54983927,-0.44568536,22859.14,437.46,1.0650E-05
2,14,5s 5p,3P1,4d2,3F2,E1_L,0.00950,-0.54983927,-0.44230201,23601.70,423.70,4.8110E+02
2,14,5s 5p,3P1,4d2,3F2,E1_V,0.00724,-0.54983927,-0.44230201,23601.70,423.70,2.7930E+02
2,14,5s 5p,3P1,4d2,3F2,E3,17.22106,-0.54983927,-0.44230201,23601.70,423.70,7.6084E-07
2,14,5s 5p,3P1,4d2,3F2,M2,1.56870,-0.54983927,-0.44230201,23601.70,423.70,5.3739E-06
2,15,5s 5p,3P1,4d2,3F3,E3,5.20905,-0.54983927,-0.44192522,23684.40,422.22,5.0956E-08
2,15,5s 5p,3P1,4d2,3F3,M2,1.31452,-0.54983927,-0.44192522,23684.40,422.22,2.7429E-06
2,16,5s 5p,3P1,4d2,3F4,E3,-17.87171,-0.54983927,-0.44140473,23798.63,420.19,4.8249E-07
2,17,5s 5p,3P1,5s 7d,3D1,E1_L,1.02267,-0.54983927,-0.43536260,25124.72,398.01,1.1203E+07
2,17,5s 5p,3P1,5s 7d,3D1,E1_V,1.02725,-0.54983927,-0.43536260,25124.72,398.01,1.1303E+07
2,17,5s 5p,3P1,5s 7d,3D1,M2,-1.04706,-0.54983927,-0.43536260,25124.72,398.01,5.4550E-06
2,18,5s 5p,3P1,5s 7d,3D2,E1_L,-1.73617,-0.54983927,-0.43533802,25130.12,397.93,1.9385E+07
2,18,5s 5p,3P1,5s 7d,3D2,E1_V,-1.74446,-0.54983927,-0.43533802,25130.12,397.93,1.9571E+07
