n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s 5p,3P0,5s 5p,3P1,M1,-1.70439,-0.55068371,-0.54983927,185.33,53957.05,1.6627E-04
1,2,5s 5p,3P0,5s 5p,3P2,E2,19.13608,-0.55068371,-0.54803568,581.17,17206.55,5.4383E-07
1,3,5s 5p,3P0,5s 5p,1P1,M1,-0.33452,-0.55068371,-0.51754587,7272.91,1374.96,3.8706E-01
1,4,5s 5p,3P0,5p 4d,3F2,E2,-21.80765,-0.55068371,-0.46381246,19066.03,524.49,2.6838E+01
1,5,5s 5p,3P0,5p 4d,3F3,M3,-351.72556,-0.55068371,-0.46223131,19413.06,515.12,7.6874E-10
1,6,5s 5p,3P0,5s 6p,3P1,M1,-0.28818,-0.55068371,-0.46180088,19507.53,512.62,5.5429E+00
1,7,5s 5p,3P0,5p 4d,2D2,E2,-5.75928,-0.55068371,-0.46161850,19547.55,511.57,2.1204E+00
1,8,5s 5p,3P0,5s 6p,3P2,E2,-19.20021,-0.55068371,-0.46126661,19624.78,509.56,2.4036E+01
1,9,5s 5p,3P0,5s 6p,1P1,M1,-0.28021,-0.55068371,-0.46072131,19744.46,506.47,5.4339E+00
1,11,5s 5p,3P0,5p 4d,3D1,M1,-0.29229,-0.55068371,-0.45059879,21966.10,455.25,8.1414E+00
1,12,5s 5p,3P0,5p 4d,3D2,E2,-11.72285,-0.55068371,-0.45005170,22086.17,452.77,1.6177E+01
2,1,5s 5p,3P1,5s 5p,3P1,E2,-13.65009,-0.54983927,-0.54983927,-0.00,186745811393.57,3.0626E-42
2,1,5s 5p,3P1,5s 5p,3P1,M1,4.08440,-0.54983927,-0.54983927,-0.00,186745811393.57,2.3031E-23
2,2,5s 5p,3P1,5s 5p,3P2,E2,48.97608,-0.54983927,-0.54803568,395.84,25262.63,5.2216E-07
2,2,5s 5p,3P1,5s 5p,3P2,M1,-2.11140,-0.54983927,-0.54803568,395.84,25262.63,1.4917E-03
2,2,5s 5p,3P1,5s 5p,3P2,M3,715.28786,-0.54983927,-0.54803568,395.84,25262.63,6.5231E-21
2,3,5s 5p,3P1,5s 5p,1P1,E2,5.76228,-0.54983927,-0.51754587,7087.58,1410.92,2.2170E-02
2,3,5s 5p,3P1,5s 5p,1P1,M1,0.44935,-0.54983927,-0.51754587,7087.58,1410.92,6.4636E-01
2,4,5s 5p,3P1,5p 4d,3F2,E2,28.57269,-0.54983927,-0.46381246,18880.70,529.64,4.3875E+01
2,4,5s 5p,3P1,5p 4d,3F2,M1,-0.53059,-0.54983927,-0.46381246,18880.70,529.64,1.0222E+01
2,4,5s 5p,3P1,5p 4d,3F2,M3,585.17617,-0.54983927,-0.46381246,18880.70,529.64,2.4521E-09
2,5,5s 5p,3P1,5p 4d,3F3,E2,-34.46671,-0.54983927,-0.46223131,19227.72,520.08,4.9950E+01
2,5,5s 5p,3P1,5p 4d,3F3,M3,1380.26509,-0.54983927,-0.46223131,19227.72,520.08,1.1070E-08
2,6,5s 5p,3P1,5s 6p,3P1,E2,-2.88610,-0.54983927,-0.46180088,19322.19,517.54,8.3749E-01
2,6,5s 5p,3P1,5s 6p,3P1,M1,0.41388,-0.54983927,-0.46180088,19322.19,517.54,1.1111E+01
2,7,5s 5p,3P1,5p 4d,2D2,E2,28.84060,-0.54983927,-0.46161850,19362.22,516.47,5.0701E+01
2,7,5s 5p,3P1,5p 4d,2D2,M1,-0.52583,-0.54983927,-0.46161850,19362.22,516.47,1.0827E+01
2,7,5s 5p,3P1,5p 4d,2D2,M3,578.76368,-0.54983927,-0.46161850,19362.22,516.47,2.8611E-09
2,8,5s 5p,3P1,5s 6p,3P2,E2,0.99301,-0.54983927,-0.46126661,19439.45,514.42,6.1314E-02
2,8,5s 5p,3P1,5s 6p,3P2,M1,-0.54428,-0.54983927,-0.46126661,19439.45,514.42,1.1740E+01
2,8,5s 5p,3P1,5s 6p,3P2,M3,501.53927,-0.54983927,-0.46126661,19439.45,514.42,2.2092E-09
2,9,5s 5p,3P1,5s 6p,1P1,E2,3.45848,-0.54983927,-0.46072131,19559.13,511.27,1.2782E+00
2,9,5s 5p,3P1,5s 6p,1P1,M1,0.40364,-0.54983927,-0.46072131,19559.13,511.27,1.0961E+01
2,10,5s 5p,3P1,5p 4d,3F4,M3,-576.01733,-0.54983927,-0.46071337,19560.87,511.22,1.6910E-09
2,11,5s 5p,3P1,5p 4d,3D1,E2,15.08730,-0.54983927,-0.45059879,21780.77,459.12,4.1655E+01
2,11,5s 5p,3P1,5p 4d,3D1,M1,0.41395,-0.54983927,-0.45059879,21780.77,459.12,1.5920E+01
2,12,5s 5p,3P1,5p 4d,3D2,E2,7.95603,-0.54983927,-0.45005170,21900.84,456.60,7.1437E+00
2,12,5s 5p,3P1,5p 4d,3D2,M1,-0.53135,-0.54983927,-0.45005170,21900.84,456.60,1.6000E+01
2,12,5s 5p,3P1,5p 4d,3D2,M3,537.54828,-0.54983927,-0.45005170,21900.84,456.60,5.8466E-09
3,1,5s 5p,3P2,5s 5p,3P1,E2,-43.69594,-0.54803568,-0.54983927,-395.84,25262.63,4.1564E-07
3,1,5s 5p,3P2,5s 5p,3P1,M1,0.65949,-0.54803568,-0.54983927,-395.84,25262.63,1.4553E-04
3,1,5s 5p,3P2,5s 5p,3P1,M3,-805.46119,-0.54803568,-0.54983927,-395.84,25262.63,8.2714E-21
3,2,5s 5p,3P2,5s 5p,3P2,E2,51.54913,-0.54803568,-0.54803568,-0.00,204967690224.16,1.6453E-41
3,2,5s 5p,3P2,5s 5p,3P2,M1,8.74694,-0.54803568,-0.54803568,-0.00,204967690224.16,4.7932E-23
3,2,5s 5p,3P2,5s 5p,3P2,M3,-756.07962,-0.54803568,-0.54803568,-0.00,204967690224.16,3.1490E-69
3,3,5s 5p,3P2,5s 5p,1P1,E2,-8.55557,-0.54803568,-0.51754587,6691.74,1494.38,3.6667E-02
3,3,5s 5p,3P2,5s 5p,1P1,M1,-0.87159,-0.54803568,-0.51754587,6691.74,1494.38,2.0467E+00
3,3,5s 5p,3P2,5s 5p,1P1,M3,-878.46492,-0.54803568,-0.51754587,6691.74,1494.38,6.4701E-12
3,4,5s 5p,3P2,5p 4d,3F2,E2,12.75249,-0.54803568,-0.46381246,18484.86,540.98,7.8614E+00
3,4,5s 5p,3P2,5p 4d,3F2,M1,0.52924,-0.54803568,-0.46381246,18484.86,540.98,9.5439E+00
3,4,5s 5p,3P2,5p 4d,3F2,M3,-965.08140,-0.54803568,-0.46381246,18484.86,540.98,5.7502E-09
3,5,5s 5p,3P2,5p 4d,3F3,E2,31.47846,-0.54803568,-0.46223131,18831.88,531.01,3.7549E+01
3,5,5s 5p,3P2,5p 4d,3F3,M1,-0.70302,-0.54803568,-0.46223131,18831.88,531.01,1.2719E+01
3,5,5s 5p,3P2,5p 4d,3F3,M3,1137.06521,-0.54803568,-0.46223131,18831.88,531.01,6.4944E-09
3,6,5s 5p,3P2,5s 6p,3P1,E2,-26.07907,-0.54803568,-0.46180088,18926.35,528.36,6.1659E+01
3,6,5s 5p,3P2,5s 6p,3P1,M1,-0.90421,-0.54803568,-0.46180088,18926.35,528.36,4.9838E+01
3,6,5s 5p,3P2,5s 6p,3P1,M3,-715.73972,-0.54803568,-0.46180088,18926.35,528.36,6.2182E-09
3,7,5s 5p,3P2,5p 4d,2D2,E2,25.70106,-0.54803568,-0.46161850,18966.38,527.25,3.6312E+01
3,7,5s 5p,3P2,5p 4d,2D2,M1,0.53510,-0.54803568,-0.46161850,18966.38,527.25,1.0539E+01
3,7,5s 5p,3P2,5p 4d,2D2,M3,-844.15614,-0.54803568,-0.46161850,18966.38,527.25,5.2672E-09
3,8,5s 5p,3P2,5s 6p,3P2,E2,3.38842,-0.54803568,-0.46126661,19043.61,525.11,6.4412E-01
3,8,5s 5p,3P2,5s 6p,3P2,M1,0.53383,-0.54803568,-0.46126661,19043.61,525.11,1.0618E+01
3,8,5s 5p,3P2,5s 6p,3P2,M3,-999.77412,-0.54803568,-0.46126661,19043.61,525.11,7.6013E-09
3,9,5s 5p,3P2,5s 6p,1P1,E2,-12.58277,-0.54803568,-0.46072131,19163.29,521.83,1.5275E+01
3,9,5s 5p,3P2,5s 6p,1P1,M1,-0.92694,-0.54803568,-0.46072131,19163.29,521.83,5.4366E+01
3,9,5s 5p,3P2,5s 6p,1P1,M3,-775.47492,-0.54803568,-0.46072131,19163.29,521.83,7.9637E-09
3,10,5s 5p,3P2,5p 4d,3F4,E2,-46.96412,-0.54803568,-0.46071337,19165.03,521.78,7.0964E+01
3,10,5s 5p,3P2,5p 4d,3F4,M3,1326.29281,-0.54803568,-0.46071337,19165.03,521.78,7.7699E-09
3,11,5s 5p,3P2,5p 4d,3D1,E2,-10.97973,-0.54803568,-0.45059879,21384.93,467.62,2.0128E+01
3,11,5s 5p,3P2,5p 4d,3D1,M1,-0.92206,-0.54803568,-0.45059879,21384.93,467.62,7.4758E+01
3,11,5s 5p,3P2,5p 4d,3D1,M3,-649.82969,-0.54803568,-0.45059879,21384.93,467.62,1.2052E-08
3,12,5s 5p,3P2,5p 4d,3D2,E2,27.08968,-0.54803568,-0.45005170,21505.00,465.01,7.5602E+01
3,12,5s 5p,3P2,5p 4d,3D2,M1,0.53376,-0.54803568,-0.45005170,21505.00,465.01,1.5285E+01
3,12,5s 5p,3P2,5p 4d,3D2,M3,-944.66330,-0.54803568,-0.45005170,21505.00,465.01,1.5892E-08
4,1,5s 5p,1P1,5s 5p,3P1,E2,8.66330,-0.51754589,-0.54983927,-7087.58,1410.92,5.0111E-02
4,1,5s 5p,1P1,5s 5p,3P1,M1,0.37395,-0.51754589,-0.54983927,-7087.58,1410.92,4.4765E-01
4,2,5s 5p,1P1,5s 5p,3P2,E2,11.15002,-0.51754589,-0.54803568,-6691.74,1494.38,6.2276E-02
4,2,5s 5p,1P1,5s 5p,3P2,M1,-0.48256,-0.51754589,-0.54803568,-6691.74,1494.38,6.2739E-01
4,2,5s 5p,1P1,5s 5p,3P2,M3,377.49804,-0.51754589,-0.54803568,-6691.74,1494.38,1.1948E-12
