n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s2,1S0,0.000,0.000,0.000,0.62055149,0.00,,92.86889,True,,
2,5s 4d,3D1,1.000,2.000,1.000,0.53770844,18181.95,0.50000,94.88820,True,,
3,5s 4d,3D2,0.998,2.000,2.000,0.53739422,18250.91,1.16625,94.83376,True,,
4,5s 4d,3D3,1.000,2.000,3.000,0.53686660,18366.71,1.33331,94.79782,True,,
5,5s 4d,1D2,0.005,2.000,2.000,0.52758744,20403.25,1.00042,82.64077,True,,
6,5s 6s,3S1,1.000,0.000,1.000,0.48685600,29342.77,1.99997,87.39679,True,,
7,5s 6s,1S0,0.000,0.000,0.000,0.47967711,30918.35,,73.78436,True,,
8,5s 5d,1D2,0.007,1.998,2.000,0.46080387,35060.55,1.00125,58.52299,True,5s 6d,22.96156
9,5s 5d,3D1,1.000,2.000,1.000,0.45952260,35341.76,0.50050,63.55129,True,5s 6d,32.37448
10,5s 5d,3D2,0.999,2.000,2.000,0.45945159,35357.34,1.16659,63.37583,True,5s 6d,32.49039
11,5s 5d,3D3,1.000,2.000,3.000,0.45934550,35380.62,1.33332,63.24537,True,5s 6d,32.75844
12,5p2,3P0,0.981,0.981,0.000,0.45734351,35820.01,,60.91060,True,4d2,29.03793
13,5p2,3P1,1.000,1.001,1.000,0.45638817,36029.68,1.49959,60.40005,True,4d2,29.65858
14,5p2,3P2,0.982,1.035,2.000,0.45516607,36297.90,1.48668,57.94319,True,4d2,30.78222
15,4d2,1D2,0.057,1.988,2.000,0.45022301,37382.78,1.00986,42.83879,True,5p2,28.30307
16,5s 7s,1S0,0.038,0.038,0.000,0.44903339,37643.87,,31.02341,True,5p2,20.43103
17,5s 7s,3S1,1.000,0.000,1.000,0.44854122,37751.89,1.99993,55.07845,True,5s 8s,38.62266
18,4d2,3F2,0.996,2.994,2.000,0.44654279,38190.49,0.66894,84.62013,True,,
19,4d2,3F3,1.000,3.000,3.000,0.44613336,38280.35,1.08331,84.92028,True,,
20,4d2,3F4,1.000,3.001,4.000,0.44555682,38406.89,1.24981,84.89986,True,,
21,5s 8s,1S0,0.016,0.016,0.000,0.44319951,38924.26,,38.45700,True,5p2,18.51763
22,5s 7d,3D1,1.000,2.000,1.000,0.43820374,40020.71,0.50001,62.88355,True,5s 6d,19.22217
23,5s 7d,3D2,0.973,2.000,2.000,0.43818036,40025.84,1.15991,62.85034,True,5s 6d,19.05016
24,5s 7d,3D3,1.000,2.000,3.000,0.43812290,40038.45,1.33333,63.17168,True,5s 6d,18.83210
