n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 5p,3P0,1.000,1.000,0.000,0.55315453,0.00,,95.76071,True,,
2,5s 5p,3P1,0.999,1.000,1.000,0.55230790,185.81,1.49945,95.68346,True,,
3,5s 5p,3P2,1.000,1.000,2.000,0.55049845,582.94,1.49999,95.58270,True,,
4,5s 5p,1P1,0.002,1.000,1.000,0.52058093,7149.08,1.00054,76.55300,True,,
5,5p 4d,3F2,0.842,2.799,2.000,0.46712339,18881.65,0.74304,91.81653,True,,
6,5p 4d,3F3,1.000,2.999,3.000,0.46547183,19244.13,1.08357,91.21986,True,,
7,5p 4d,2D2,0.384,2.219,2.000,0.46493817,19361.25,0.94889,89.32605,True,,
8,5s 6p,3P0,1.000,1.000,0.000,0.46465746,19422.86,,71.39121,True,,
9,5s 6p,3P1,0.929,1.000,1.000,0.46459542,19436.48,1.44796,70.51806,True,,
10,5s 6p,3P2,0.974,1.068,2.000,0.46411839,19541.17,1.47614,68.03368,True,5s 7p,21.10122
11,5p 4d,3F4,1.000,3.000,4.000,0.46390660,19587.66,1.25000,91.05477,True,,
12,5s 6p,1P1,0.178,1.001,1.000,0.46358956,19657.24,1.05153,64.43362,True,5s 7p,21.96331
