n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s2,1S0,5s 4d,3D1,M1,0.00004,-0.62055149,-0.53770844,18181.95,550.00,8.8323E-08
1,2,5s2,1S0,5s 4d,3D2,E2,1.11819,-0.62055149,-0.53739422,18250.91,547.92,5.6713E-02
1,3,5s2,1S0,5s 4d,3D3,M3,123.68562,-0.62055149,-0.53686660,18366.71,544.46,6.4501E-11
1,4,5s2,1S0,5s 4d,1D2,E2,-26.03074,-0.62055149,-0.52758744,20403.25,490.12,5.3666E+01
1,5,5s2,1S0,5s 6s,3S1,M1,-0.00012,-0.62055149,-0.48685600,29342.77,340.80,3.0576E-06
1,6,5s2,1S0,5s 5d,1D2,E2,17.42302,-0.62055149,-0.46080387,35060.55,285.22,3.6022E+02
1,7,5s2,1S0,5s 5d,3D1,M1,-0.00010,-0.62055149,-0.45952260,35341.76,282.95,4.1996E-06
1,8,5s2,1S0,5s 5d,3D2,E2,-0.45973,-0.62055149,-0.45945159,35357.34,282.83,2.6159E-01
1,9,5s2,1S0,5s 5d,3D3,M3,-79.57321,-0.62055149,-0.45934550,35380.62,282.64,2.6279E-09
1,10,5s2,1S0,5p2,3P1,M1,-0.00542,-0.62055149,-0.45638817,36029.68,277.55,1.2331E-02
1,11,5s2,1S0,5p2,3P2,E2,1.19200,-0.62055149,-0.45516606,36297.91,275.50,2.0053E+00
1,12,5s2,1S0,4d2,1D2,E2,1.07584,-0.62055149,-0.45022301,37382.78,267.50,1.8927E+00
1,13,5s2,1S0,5s 7s,3S1,M1,-0.00000,-0.62055149,-0.44854123,37751.89,264.89,8.0188E-11
1,14,5s2,1S0,4d2,3F2,E2,0.10577,-0.62055149,-0.44654280,38190.49,261.85,2.0357E-02
1,15,5s2,1S0,4d2,3F3,M3,-0.00216,-0.62055149,-0.44613337,38280.35,261.23,3.3465E-18
1,17,5s2,1S0,5s 7d,3D1,M1,0.00002,-0.62055149,-0.43820374,40020.70,249.87,2.8937E-07
1,18,5s2,1S0,5s 7d,3D2,E2,1.92232,-0.62055149,-0.43818039,40025.83,249.84,8.5032E+00
1,19,5s2,1S0,5s 7d,3D3,M3,42.74683,-0.62055149,-0.43812290,40038.45,249.76,1.8024E-09
1,20,5s2,1S0,5s 7d,1D2,E2,8.62250,-0.62055149,-0.43796776,40072.50,249.55,1.7208E+02
1,21,5s2,1S0,5s 9s,3S1,M1,0.00003,-0.62055149,-0.43330339,41096.21,243.33,7.1854E-07
1,23,5s2,1S0,5s 6g,3G3,M3,0.01633,-0.62055149,-0.42987284,41849.13,238.95,3.5869E-16
2,1,5s 4d,3D1,5s 4d,3D1,E2,9.01258,-0.53770844,-0.53770844,-0.00,891516861544.58,5.3843E-46
2,1,5s 4d,3D1,5s 4d,3D1,M1,1.22474,-0.53770844,-0.53770844,-0.00,891516861544.58,1.9033E-26
2,2,5s 4d,3D1,5s 4d,3D2,E2,-11.65205,-0.53770844,-0.53739422,68.96,145005.24,4.7437E-12
2,2,5s 4d,3D1,5s 4d,3D2,M1,2.11892,-0.53770844,-0.53739422,68.96,145005.24,7.9441E-06
2,2,5s 4d,3D1,5s 4d,3D2,M3,-7.51304,-0.53770844,-0.53739422,68.96,145005.24,3.5058E-30
2,3,5s 4d,3D1,5s 4d,3D3,E2,3.96024,-0.53770844,-0.53686660,184.76,54123.32,5.4028E-11
2,3,5s 4d,3D1,5s 4d,3D3,M3,-8.88359,-0.53770844,-0.53686660,184.76,54123.32,3.4690E-27
2,4,5s 4d,3D1,5s 4d,1D2,E2,-0.58131,-0.53770844,-0.52758744,2221.30,4501.86,4.0934E-07
2,4,5s 4d,3D1,5s 4d,1D2,M1,0.09858,-0.53770844,-0.52758744,2221.30,4501.86,5.7461E-04
2,4,5s 4d,3D1,5s 4d,1D2,M3,18.32333,-0.53770844,-0.52758744,2221.30,4501.86,7.5007E-19
2,5,5s 4d,3D1,5s 6s,3S1,E2,-14.03532,-0.53770844,-0.48685600,11160.82,895.99,1.2735E+00
