n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s2,1S0,5s 5p,3P1,E1_L,-0.15866,-0.62055149,-0.55230790,14977.74,667.66,5.7123E+04
1,1,5s2,1S0,5s 5p,3P1,E1_V,-0.17950,-0.62055149,-0.55230790,14977.74,667.66,7.3115E+04
1,2,5s2,1S0,5s 5p,3P2,M2,22.37170,-0.62055149,-0.55049845,15374.86,650.41,1.2822E-04
1,3,5s2,1S0,5s 5p,1P1,E1_L,-5.25591,-0.62055149,-0.52058093,21941.00,455.77,1.9707E+08
1,3,5s2,1S0,5s 5p,1P1,E1_V,-5.51835,-0.62055149,-0.52058093,21941.00,455.77,2.1724E+08
1,4,5s2,1S0,5p 4d,3F2,M2,-0.46508,-0.62055149,-0.46712339,33673.57,296.97,2.7926E-06
1,5,5s2,1S0,5p 4d,3F3,E3,1.79655,-0.62055149,-0.46547183,34036.05,293.81,7.6717E-08
1,6,5s2,1S0,5p 4d,2D2,M2,-0.67749,-0.62055149,-0.46493817,34153.18,292.80,6.3601E-06
1,7,5s2,1S0,5s 6p,3P1,E1_L,0.04087,-0.62055149,-0.46459542,34228.40,292.16,4.5239E+04
1,7,5s2,1S0,5s 6p,3P1,E1_V,0.08304,-0.62055149,-0.46459542,34228.40,292.16,1.8677E+05
1,8,5s2,1S0,5s 6p,3P2,M2,0.87066,-0.62055149,-0.46411839,34333.10,291.26,1.0783E-05
1,10,5s2,1S0,5s 6p,1P1,E1_L,-0.27332,-0.62055149,-0.46358956,34449.16,290.28,2.0627E+06
1,10,5s2,1S0,5s 6p,1P1,E1_V,-0.39295,-0.62055149,-0.46358956,34449.16,290.28,4.2635E+06
1,11,5s2,1S0,5p 4d,3D1,E1_L,-0.06201,-0.62055149,-0.45444148,36456.93,274.30,1.2583E+05
1,11,5s2,1S0,5p 4d,3D1,E1_V,-0.07163,-0.62055149,-0.45444148,36456.93,274.30,1.6791E+05
1,12,5s2,1S0,5p 4d,3D2,M2,-0.10057,-0.62055149,-0.45385758,36585.08,273.34,1.9766E-07
2,1,5s 4d,3D1,5s 5p,3P1,E1_L,2.32690,-0.53770844,-0.55230790,-3204.21,3120.89,1.2030E+05
2,1,5s 4d,3D1,5s 5p,3P1,E1_V,2.15416,-0.53770844,-0.55230790,-3204.21,3120.89,1.0310E+05
