n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s 5p,3P0,5s 4d,3D1,E1_L,-2.68134,-0.55315453,-0.53770844,3390.02,2949.83,1.8917E+05
1,1,5s 5p,3P0,5s 4d,3D1,E1_V,-2.47520,-0.55315453,-0.53770844,3390.02,2949.83,1.6120E+05
1,2,5s 5p,3P0,5s 4d,3D2,M2,1.65163,-0.55315453,-0.53739422,3458.99,2891.02,4.0278E-10
1,3,5s 5p,3P0,5s 4d,3D3,E3,-102.27981,-0.55315453,-0.53686660,3574.79,2797.37,3.5057E-11
1,4,5s 5p,3P0,5s 4d,1D2,M2,11.77935,-0.55315453,-0.52758744,5611.33,1782.11,2.3018E-07
1,5,5s 5p,3P0,5s 6s,3S1,E1_L,1.98455,-0.55315453,-0.48685600,14550.84,687.25,8.1947E+06
1,5,5s 5p,3P0,5s 6s,3S1,E1_V,1.96055,-0.55315453,-0.48685600,14550.84,687.25,7.9977E+06
1,6,5s 5p,3P0,5s 5d,1D2,M2,-8.76693,-0.55315453,-0.46080387,20268.63,493.37,7.8400E-05
1,7,5s 5p,3P0,5s 5d,3D1,E1_L,2.47657,-0.55315453,-0.45952260,20549.83,486.62,3.5948E+07
1,7,5s 5p,3P0,5s 5d,3D1,E1_V,2.49027,-0.55315453,-0.45952260,20549.83,486.62,3.6347E+07
1,8,5s 5p,3P0,5s 5d,3D2,M2,2.74035,-0.55315453,-0.45945159,20565.42,486.25,8.2376E-06
1,9,5s 5p,3P0,5s 5d,3D3,E3,221.40372,-0.55315453,-0.45934550,20588.70,485.70,3.4531E-05
1,10,5s 5p,3P0,5p2,3P1,E1_L,2.58314,-0.55315453,-0.45638817,21237.76,470.86,4.3169E+07
1,10,5s 5p,3P0,5p2,3P1,E1_V,2.77475,-0.55315453,-0.45638817,21237.76,470.86,4.9811E+07
1,11,5s 5p,3P0,5p2,3P2,M2,7.49995,-0.55315453,-0.45516606,21505.98,464.99,7.7163E-05
1,12,5s 5p,3P0,4d2,1D2,M2,4.28210,-0.55315453,-0.45022301,22590.86,442.66,3.2172E-05
1,13,5s 5p,3P0,5s 7s,3S1,E1_L,0.51672,-0.55315453,-0.44854123,22959.96,435.54,2.1825E+06
1,13,5s 5p,3P0,5s 7s,3S1,E1_V,0.50091,-0.55315453,-0.44854123,22959.96,435.54,2.0511E+06
1,14,5s 5p,3P0,4d2,3F2,M2,-1.41837,-0.55315453,-0.44654280,23398.57,427.38,4.2075E-06
1,15,5s 5p,3P0,4d2,3F3,E3,14.24421,-0.55315453,-0.44613337,23488.43,425.74,3.5950E-07
1,17,5s 5p,3P0,5s 7d,3D1,E1_L,1.17385,-0.55315453,-0.43820374,25228.78,396.37,1.4944E+07
1,17,5s 5p,3P0,5s 7d,3D1,E1_V,1.18185,-0.55315453,-0.43820374,25228.78,396.37,1.5148E+07
1,18,5s 5p,3P0,5s 7d,3D2,M2,0.57157,-0.55315453,-0.43818039,25233.91,396.29,9.9670E-07
1,19,5s 5p,3P0,5s 7d,3D3,E3,-59.79884,-0.55315453,-0.43812290,25246.52,396.09,1.0501E-05
1,20,5s 5p,3P0,5s 7d,1D2,M2,-2.24963,-0.55315453,-0.43796776,25280.57,395.56,1.5583E-05
1,21,5s 5p,3P0,5s 9s,3S1,E1_L,-0.29931,-0.55315453,-0.43330339,26304.28,380.17,1.1012E+06
1,21,5s 5p,3P0,5s 9s,3S1,E1_V,-0.29028,-0.55315453,-0.43330339,26304.28,380.17,1.0358E+06
1,23,5s 5p,3P0,5s 6g,3G3,E3,-82.73535,-0.55315453,-0.42987284,27057.20,369.59,3.2644E-05
2,1,5s 5p,3P1,5s 4d,3D1,E1_L,2.32689,-0.55230790,-0.53770844,3204.21,3120.89,1.2030E+05
2,1,5s 5p,3P1,5s 4d,3D1,E1_V,2.15430,-0.55230790,-0.53770844,3204.21,3120.89,1.0312E+05
2,1,5s 5p,3P1,5s 4d,3D1,M2,-3.04214,-0.55230790,-0.53770844,3204.21,3120.89,1.5535E-09
2,2,5s 5p,3P1,5s 4d,3D2,E1_L,4.02862,-0.55230790,-0.53739422,3273.17,3055.14,2.3063E+05
2,2,5s 5p,3P1,5s 4d,3D2,E1_V,3.73073,-0.55230790,-0.53739422,3273.17,3055.14,1.9778E+05
