n1,n2,state_one_configuration,state_one_term,state_two_configuration,state_two_term,operator,matrix_element_value,state_one_energy_au,state_two_energy_au,transition_energy_cm,wavelength_nm,transition_rate
1,1,5s 5p,3P0,5s 5p,3P1,M1,-1.70373,-0.55315453,-0.55230790,185.81,53817.71,1.6743E-04
1,2,5s 5p,3P0,5s 5p,3P2,E2,-29.30344,-0.55315453,-0.55049845,582.94,17154.40,1.2948E-06
1,3,5s 5p,3P0,5s 5p,1P1,M1,-0.24597,-0.55315453,-0.52058093,7149.08,1398.78,1.9875E-01
1,4,5s 5p,3P0,5p 4d,3F2,E2,10.73017,-0.55315453,-0.46712339,18881.65,529.61,6.1893E+00
1,5,5s 5p,3P0,5p 4d,3F3,M3,-493.92686,-0.55315453,-0.46547183,19244.13,519.64,1.4260E-09
1,6,5s 5p,3P0,5p 4d,2D2,E2,-11.35258,-0.55315453,-0.46493817,19361.25,516.50,7.8539E+00
1,7,5s 5p,3P0,5s 6p,3P1,M1,-0.28787,-0.55315453,-0.46459542,19436.48,514.50,5.4710E+00
1,8,5s 5p,3P0,5s 6p,3P2,E2,7.73408,-0.55315453,-0.46411839,19541.17,511.74,3.8177E+00
1,10,5s 5p,3P0,5s 6p,1P1,M1,-0.27942,-0.55315453,-0.46358956,19657.24,508.72,5.3323E+00
1,11,5s 5p,3P0,5p 4d,3D1,M1,-0.29154,-0.55315453,-0.45444148,21665.01,461.57,7.7714E+00
1,12,5s 5p,3P0,5p 4d,3D2,E2,-11.67620,-0.55315453,-0.45385758,21793.16,458.86,1.5012E+01
2,1,5s 5p,3P1,5s 5p,3P1,E2,-13.45514,-0.55230790,-0.55230790,-0.00,167017890402.11,5.2004E-42
2,1,5s 5p,3P1,5s 5p,3P1,M1,4.08345,-0.55230790,-0.55230790,-0.00,167017890402.11,3.2180E-23
2,2,5s 5p,3P1,5s 5p,3P2,E2,-23.65687,-0.55230790,-0.55049845,397.13,25180.78,1.2382E-07
2,2,5s 5p,3P1,5s 5p,3P2,M1,1.04963,-0.55230790,-0.55049845,397.13,25180.78,3.7225E-04
2,2,5s 5p,3P1,5s 5p,3P2,M3,446.05395,-0.55230790,-0.55049845,397.13,25180.78,2.5950E-21
2,3,5s 5p,3P1,5s 5p,1P1,E2,8.80066,-0.55230790,-0.52058093,6963.27,1436.11,4.7334E-02
2,3,5s 5p,3P1,5s 5p,1P1,M1,0.37215,-0.55230790,-0.52058093,6963.27,1436.11,4.2042E-01
2,4,5s 5p,3P1,5p 4d,3F2,E2,-2.73844,-0.55230790,-0.46712339,18695.84,534.88,3.8367E-01
2,4,5s 5p,3P1,5p 4d,3F2,M1,-0.53122,-0.55230790,-0.46712339,18695.84,534.88,9.9485E+00
2,4,5s 5p,3P1,5p 4d,3F2,M3,573.90357,-0.55230790,-0.46712339,18695.84,534.88,2.2016E-09
2,5,5s 5p,3P1,5p 4d,3F3,E2,17.03452,-0.55230790,-0.46547183,19058.31,524.71,1.1673E+01
2,5,5s 5p,3P1,5p 4d,3F3,M3,1552.89059,-0.55230790,-0.46547183,19058.31,524.71,1.3170E-08
2,6,5s 5p,3P1,5p 4d,2D2,E2,23.73244,-0.55230790,-0.46493817,19175.44,521.50,3.2707E+01
2,6,5s 5p,3P1,5p 4d,2D2,M1,-0.52982,-0.55230790,-0.46493817,19175.44,521.50,1.0677E+01
2,6,5s 5p,3P1,5p 4d,2D2,M3,544.16392,-0.55230790,-0.46493817,19175.44,521.50,2.3633E-09
2,7,5s 5p,3P1,5s 6p,3P1,E2,-2.60797,-0.55230790,-0.46459542,19250.66,519.46,6.7129E-01
